point_key,point_label,is_single_operator,point_tp_map_x,point_tp_map_y,from_system_label,from_infrastructure_type_label,from_country_key,from_country_label,from_bz_key,from_bz_label,from_bz_label_long,from_operator_key,from_operator_label,from_operator_long_label,from_point_key,from_point_label,from_is_cam,from_is_cmp,from_booking_platform_key,from_booking_platform_label,from_booking_platform_url,to_is_cam,to_is_cmp,to_booking_platform_key,to_booking_platform_label,to_booking_platform_url,from_tso_item_identifier,from_tso_point_label,from_direction_key,from_has_data,to_system_label,to_infrastructure_type_label,to_country_key,to_country_label,to_bz_key,to_bz_label,to_bz_label_long,to_operator_key,to_operator_label,to_operator_long_label,to_point_key,to_point_label,to_direction_key,to_has_data,to_tso_item_identifier,to_tso_point_label,valid_from,validto,last_update_date_time,is_invalid,entry_tp_ne_mo_usage,exit_tp_ne_mo_usage,id,data_set,from_region_key,to_region_key
DIS-00030,Karditsa,False,31.86,-70.6,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00030,Karditsa,False,False,,,,,,,,,21Z000000000421V,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00030GreeceGR-TSO-0001DIS-00030exitDistribution,4,Southern Europe,Southern Europe
DIS-00031,Katerini,False,34.37,-68.72,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00031,Katerini,False,False,,,,,,,,,21Z000000000420X,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00031GreeceGR-TSO-0001DIS-00031exitDistribution,4,Southern Europe,Southern Europe
DIS-00032,Kavala,False,42.89,-66.79,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00032,Kavala,False,False,,,,,,,,,21Z000000000422T,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00032GreeceGR-TSO-0001DIS-00032exitDistribution,4,Southern Europe,Southern Europe
DIS-00033,Keratsini(PPC),False,40.17,-73.45,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00033,Keratsini(PPC),False,False,,,,,,,,,21Z000000000433O,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00033GreeceGR-TSO-0001DIS-00033exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00034,Kilkis,False,36.47,-67.2,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00034,Kilkis,False,False,,,,,,,,,21Z000000000419I,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00034GreeceGR-TSO-0001DIS-00034exitDistribution,4,Southern Europe,Southern Europe
DIS-00035,Kokkina,False,35.51,-70.35,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00035,Kokkina,False,False,,,,,,,,,21Z000000000418K,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00035GreeceGR-TSO-0001DIS-00035exitDistribution,4,Southern Europe,Southern Europe
DIS-00036,Komotini,False,48.47,-66.23,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00036,Komotini,False,False,,,,,,,,,21Z000000000417M,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00036GreeceGR-TSO-0001DIS-00036exitDistribution,4,Southern Europe,Southern Europe
DIS-00037,Komotini(PPC),False,48.47,-66.23,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00037,Komotini(PPC),False,False,,,,,,,,,21Z000000000432Q,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00037GreeceGR-TSO-0001DIS-00037exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00038,Lamia,False,35.33,-71.51,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00038,Lamia,False,False,,,,,,,,,21Z000000000416O,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00038GreeceGR-TSO-0001DIS-00038exitDistribution,4,Southern Europe,Southern Europe
DIS-00039,Larissa,False,34.15,-69.78,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00039,Larissa,False,False,,,,,,,,,21Z000000000415Q,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00039GreeceGR-TSO-0001DIS-00039exitDistribution,4,Southern Europe,Southern Europe
DIS-00040,Lavrio(PPC),False,42.32,-74.02,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00040,Lavrio(PPC),False,False,,,,,,,,,21Z000000000431S,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00040GreeceGR-TSO-0001DIS-00040exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00041,Motor Oil,False,37.05,-73.64,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00041,Motor Oil,False,False,,,,,,,,,21Z000000000413U,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00041GreeceGR-TSO-0001DIS-00041exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00042,Motor Oil II,False,37.05,-73.64,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00042,Motor Oil II,False,False,,,,,,,,,21Z000000000412W,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00042GreeceGR-TSO-0001DIS-00042exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00043,Oinofyta,False,39.55,-72.69,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00043,Oinofyta,False,False,,,,,,,,,21Z000000000409L,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00043GreeceGR-TSO-0001DIS-00043exitDistribution,4,Southern Europe,Southern Europe
DIS-00044,Platy,False,35.38,-67.61,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00044,Platy,False,False,,,,,,,,,21Z000000000408N,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00044GreeceGR-TSO-0001DIS-00044exitDistribution,4,Southern Europe,Southern Europe
DIS-00045,SALFA Ano Liossia,False,40.69,-72.93,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00045,SALFA Ano Liossia,False,False,,,,,,,,,21Z000000000406R,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00045GreeceGR-TSO-0001DIS-00045exitDistribution,4,Southern Europe,Southern Europe
DIS-00046,SALFA Anthousa,False,41.88,-73.2,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00046,SALFA Anthousa,False,False,,,,,,,,,21Z000000000407P,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00046GreeceGR-TSO-0001DIS-00046exitDistribution,4,Southern Europe,Southern Europe
DIS-00047,Serres,False,39.86,-66.05,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00047,Serres,False,False,,,,,,,,,21Z000000000405T,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00047GreeceGR-TSO-0001DIS-00047exitDistribution,4,Southern Europe,Southern Europe
DIS-00048,Spata,False,41.79,-73.45,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00048,Spata,False,False,,,,,,,,,21Z000000000414S,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00048GreeceGR-TSO-0001DIS-00048exitDistribution,4,Southern Europe,Southern Europe
DIS-00049,Thessaloniki,False,36.96,-67.68,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00049,Thessaloniki,False,False,,,,,,,,,21Z000000000425N,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00049GreeceGR-TSO-0001DIS-00049exitDistribution,4,Southern Europe,Southern Europe
DIS-00050,Thisvi,False,36.96,-67.68,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00050,Thisvi,False,False,,,,,,,,,21Z000000000424P,,exit,True,Final Consumers,Final Consumers,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00050GreeceGR-TSO-0001DIS-00050exitFinal Consumers,4,Southern Europe,Southern Europe
DIS-00051,Thriassio,False,40.03,-73.45,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00051,Thriassio,False,False,,,,,,,,,21Z000000000423R,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00051GreeceGR-TSO-0001DIS-00051exitDistribution,4,Southern Europe,Southern Europe
DIS-00052,Trikala,False,29.97,-70.07,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00052,Trikala,False,False,,,,,,,,,21Z000000000404V,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00052GreeceGR-TSO-0001DIS-00052exitDistribution,4,Southern Europe,Southern Europe
DIS-00053,VFL,False,44.52,-66.46,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00053,VFL,False,False,,,,,,,,,21Z000000000435K,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00053GreeceGR-TSO-0001DIS-00053exitDistribution,4,Southern Europe,Southern Europe
DIS-00054,VIPE Larissa,False,34.15,-69.78,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00054,VIPE Larissa,False,False,,,,,,,,,21Z000000000437G,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00054GreeceGR-TSO-0001DIS-00054exitDistribution,4,Southern Europe,Southern Europe
DIS-00055,Volos,False,36.91,-70.44,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00055,Volos,False,False,,,,,,,,,21Z000000000436I,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00055GreeceGR-TSO-0001DIS-00055exitDistribution,4,Southern Europe,Southern Europe
DIS-00056,Xanthi,False,46.8,-66.2,Greece,Transmission,GR,Greece,GR---------,Greece,Greek Balancing Zone,GR-TSO-0001,DESFA S.A.,DESFA S.A.,DIS-00056,Xanthi,False,False,,,,,,,,,21Z000000000411Y,,exit,True,Distribution,Distribution,GR,Greece,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00056GreeceGR-TSO-0001DIS-00056exitDistribution,4,Southern Europe,Southern Europe
DIS-00058,Distribution (RO),False,47.94,-48.41,RO_NTS,Transmission,RO,Romania,RO---------,RO_NTS,Romanian National Transmission System Balancing Zone,RO-TSO-0001,Transgaz,SNTGN Transgaz S.A.,DIS-00058,Distribution,False,False,,,,,,,,,21Z000000000318O,,exit,True,Distribution,Distribution,RO,Romania,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00058RO_NTSRO-TSO-0001DIS-00058exitDistribution,4,Eastern Europe,Eastern Europe
DIS-00059,Distribution (SI),False,-7.34,-47.13,Slovenia,Transmission,SI,Slovenia,SI---------,Slovenia,Slovenian Balancing Zone,SI-TSO-0001,Plinovodi,Plinovodi d.o.o.,DIS-00059,Aggregated exit in Slovenia,False,False,,,,,,,,,21Y000000000028A,,exit,True,Distribution,Distribution,SI,Slovenia,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00059SloveniaSI-TSO-0001DIS-00059exitDistribution,4,Southern Europe,Southern Europe
DIS-00060,Final Consumers (DE) (GUD) H-Gas-Summe Letztverbraucher,False,-21.8,3.1,DE THE BZ,Transmission,DE,Germany,DE-THE-----,DE THE BZ,German Balancing Zone THE,DE-TSO-0005,GUD,Gasunie Deutschland Transport Services GmbH,DIS-00060,H-Gas-Summe Letztverbraucher,False,False,,,,,,,,,21Z000000000334Q,,exit,True,Final Consumers,Final Consumers,DE,Germany,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00060DE THE BZDE-TSO-0005DIS-00060exitFinal Consumers,4,Western Europe,Western Europe
DIS-00061,Final Consumers (DE) (GUD) L-Gas-Summe Letztverbraucher,False,-20.65,2.81,DE THE BZ,Transmission,DE,Germany,DE-THE-----,DE THE BZ,German Balancing Zone THE,DE-TSO-0005,GUD,Gasunie Deutschland Transport Services GmbH,DIS-00061,L-Gas-Summe Letztverbraucher,False,False,,,,,,,,,21Z000000000333S,,exit,True,Final Consumers,Final Consumers,DE,Germany,,,,,,,,,,False,,,,,Dec 30 2024  4:48PM,False,,Both,4InterconnectionsDIS-00061DE THE BZDE-TSO-0005DIS-00061exitFinal Consumers,4,Western Europe,Western Europe
