countryName,totalEntries,totalExits,totalFlow
Albania,8772323608.0,8773889350.0,-1565742.0
Austria,16166527619.0,37768229413.0,-33346526737.0
Belarus,0.0,0.0,1558128724.0
Belgium,57782122043.6,29766596953.1,27983475899.7
Bulgaria,14820724113.095001,11113540578.0,-7083036836.905
Croatia,1338708784.0,1338706115.0,2669.0
Czechia,15783374890.0,46016107165.0,-14018626909.0
Denmark,11362667277.0,5150575660.0,-19995345.0
Estonia,836173171.03,824543834.543,11629336.486999989
Finland,836173171.03,824543834.543,11629336.486999989
France,28232745767.0,22937909674.0,-9750924821.0
Germany,106654947467.59,124251135950.157,-35808394369.841
Greece,11754227817.0,1942524328.0,9811703489.0
Hungary,8726934462.15,4897921507.148,3690895955.0020003
Ireland,0.0,0.0,-4754623672.0
Italy,26259819472.0,13204762328.0,10369833347.0
Latvia,828273384.0,828273385.0,-1.0
Libya,0.0,0.0,2560333938.0
Lithuania,2855035762.0,1296907039.0,-1587561286.0
Luxemburg,562746065.0,0.0,562746065.0
Moldavia,136694014.52,2241668310.413,-434453563.673
Morocco,59601.0,805951627.0,0.0
Netherlands,48282519438.3,49824502623.399994,-11076374969.410002
North Macedonia,0.0,373342217.0,-373342217.0
Norway,32184534221.3,0.0,85649174123.3
Poland,7161539554.06,7255170402.315001,-93950522.25500005
Portugal,1064765147.0,1038567258.0,26197889.0
Romania,3274416617.0950003,3288405241.781,-13988624.685999734
Russia,0.0,1587561285.0,12502565506.0
San Marino,0.0,38321075.0,0.0
Serbia,3861574000.0,6361270890.0,-2361579890.0
Slovakia,11396750760.0,40433952155.1,-21732290100.1
Slovenia,1246644128.0,1246659919.0,-15791.0
Spain,7387991413.0,7466721194.0,-884621807.0
Switzerland,11232879980.0,36264432717.226,-9037855935.742
Turkey,10676263855.0,0.0,21466484227.0
Ukraine,24020687589.73,11722713569.66,-1875112218.1500006
United Kingdom,54077594337.1,26743072784.0,0.0
