fromCountryLabel,toCountryLabel,entryValue,exitValue,totalFlow
Austria,Germany,2841257180.0,4783396137.0,-1942138957.0
Austria,Hungary,1662844324.0,1675406388.0,-12562064.0
Austria,Italy,9769753521.0,9763736715.0,6016806.0
Austria,Slovakia,0.0,49705324840.0,-49705324840.0
Austria,Slovenia,284968736.0,316848999.0,-31880263.0
Belarus,Lithuania,652881888.0,0.0,652881888.0
Belarus,Ukraine,0.0,0.0,0.0
Belgium,France,4395780058.0,4395780083.0,-25.0
Belgium,Germany,78742612.0,1999945338.0,-1921202726.0
Belgium,Luxemburg,162306533.0,162306464.0,69.0
Belgium,Netherlands,6244331612.3,6947676437.9,-703344825.5999994
Belgium,Norway,5220853520.0,0.0,5220853520.0
Belgium,United Kingdom,3679730275.0,3330155000.0,349575275.0
Bulgaria,Greece,307267284.0,263579120.0,43688164.0
Bulgaria,North Macedonia,0.0,108218889.0,-108218889.0
Bulgaria,Romania,4697159444.0,412224837.967,4284934606.033
Bulgaria,Turkey,0.0,1202434092.0,-1202434092.0
Croatia,Hungary,485702690.0,482284000.0,3418690.0
Croatia,Slovenia,123202148.0,112035769.0,11166379.0
Czechia,Germany,32170332242.6,30599526240.0,1570806002.5999985
Czechia,Poland,15501258.0,15470270.0,30988.0
Czechia,Slovakia,2903198367.0,3279923547.0,-376725180.0
Denmark,Germany,0.0,65980886.0,-65980886.0
Estonia,Latvia,2125904041.8700001,1041762261.87,1084141780.0
Estonia,Russia,1107350992.8700001,0.0,1107350992.8700001
France,Belgium,4395780058.0,4395780083.0,-25.0
France,Germany,1151507784.0,1151376000.0,131784.0
France,Spain,1253456145.0,1218837693.0,34618452.0
France,Switzerland,0.0,4865204204.0,-4865204204.0
Germany,Austria,4205199264.0,4421045966.0,-215846702.0
Germany,Belgium,78742612.0,1999945338.0,-1921202726.0
Germany,Czechia,43345641004.6,17107604934.0,26238036070.6
Germany,Denmark,0.0,65980886.0,-65980886.0
Germany,France,2303015568.0,1151376000.0,1151639568.0
Germany,Luxemburg,15140426.0,15140422.0,4.0
Germany,Netherlands,5058051113.0,7104244587.67,-2046193474.67
Germany,Norway,7669546586.9,0.0,7669546586.9
Germany,Poland,7880155131.0,7047056144.07,833098986.9300003
Germany,Switzerland,0.0,23621721612.36,-23621721612.36
Greece,Bulgaria,307267284.0,263579120.0,43688164.0
Greece,Turkey,270283328.0,0.0,270283328.0
Hungary,Austria,1662844324.0,1675406388.0,-12562064.0
Hungary,Croatia,485702690.0,482284000.0,3418690.0
Hungary,Romania,477127463.19,524062000.0,-46934536.81
Hungary,Serbia,0.0,473224000.0,-473224000.0
