fromCountryLabel,toCountryLabel,entryValue,exitValue,totalFlow
Austria,Germany,7564294205.0,13783330987.0,-6219036782.0
Austria,Hungary,4079560713.0,4080216387.0,-655674.0
Austria,Italy,30253081480.0,30251698081.0,1383399.0
Austria,Slovakia,0.0,169313840820.0,-169313840820.0
Austria,Slovenia,985970046.0,985966243.0,3803.0
Belarus,Lithuania,1794524510.0,0.0,1794524510.0
Belarus,Ukraine,0.0,0.0,0.0
Belgium,France,15981133496.0,15981129843.0,3653.0
Belgium,Germany,401321736.0,6827083537.0,-6425761801.0
Belgium,Luxemburg,601309791.0,601309594.0,197.0
Belgium,Netherlands,13746390023.6,15348915576.0,-1602525552.3999996
Belgium,Norway,13742493026.0,0.0,13742493026.0
Belgium,United Kingdom,12124878296.0,12123616107.0,1262189.0
Bulgaria,Greece,1147723265.0,1141062311.0,6660954.0
Bulgaria,North Macedonia,0.0,42868938.0,-42868938.0
Bulgaria,Romania,13347029532.0,1578470579.1949,11768558952.8051
Bulgaria,Turkey,0.0,3587893079.0,-3587893079.0
Croatia,Hungary,1315859263.0,1315859000.0,263.0
Croatia,Slovenia,309913864.0,309983641.0,-69777.0
Czechia,Germany,94999516097.6,68035461436.0,26964054661.600006
Czechia,Poland,31859844.0,31671652.0,188192.0
Czechia,Slovakia,7332368900.0,7332368900.0,0.0
Denmark,Germany,0.0,336853580.0,-336853580.0
Estonia,Latvia,5247698329.901,2575677771.901,2672020558.0
Estonia,Russia,2782618174.0899997,33842853.811000004,2748775320.279
France,Belgium,15981133496.0,15981129843.0,3653.0
France,Germany,2867441479.0,2861408000.0,6033479.0
France,Spain,3754204229.0,3668384916.0,85819313.0
France,Switzerland,0.0,14430445015.0,-14430445015.0
Germany,Austria,13671945776.0,11364376894.0,2307568882.0
Germany,Belgium,401321736.0,6827083537.0,-6425761801.0
Germany,Czechia,131001186561.6,33668394588.0,97332791973.6
Germany,Denmark,0.0,336853580.0,-336853580.0
Germany,France,5734882958.0,2861408000.0,2873474958.0
Germany,Luxemburg,14287653.0,14287656.0,-3.0
Germany,Netherlands,11587074091.8,22240546328.651,-10653472236.851002
Germany,Norway,19190727437.9,0.0,19190727437.9
Germany,Poland,25045349933.0,25044880624.59,469308.4099998474
Germany,Switzerland,0.0,70772845052.6,-70772845052.6
Greece,Bulgaria,1147723265.0,1141062311.0,6660954.0
Greece,Turkey,759470386.0,0.0,759470386.0
