countryName,totalEntries,totalExits,totalFlow
Albania,9109249969.0,9121907912.0,-12657943.0
Austria,3020495604.0,27684549585.0,-33638862962.0
Belarus,0.0,0.0,2414273467.0
Belgium,41088980202.2,17617548171.1,23471215385.800003
Bulgaria,19922144580.931,15617676231.1,-9569929977.169
Croatia,695163305.0,695160970.0,2335.0
Czechia,19607074133.0,18333536185.307,430457144.6930008
Denmark,13248222589.0,5764719536.0,10153068.0
Estonia,264088990.37,266510603.0,-2421612.629999995
Finland,264088990.37,266510603.0,-2421612.629999995
France,22970952385.0,19556287750.0,-9973123001.0
Germany,77769758530.1,79080499190.894,7987221977.514001
Greece,12163823174.0,3766401734.1,8397421439.9
Hungary,12202456295.093517,5516761665.04,6634745630.053517
Ireland,0.0,0.0,-4280893574.0
Italy,21254244985.0,11029911166.0,8195484555.0
Latvia,1515716317.0,1515716317.0,0.0
Libya,0.0,0.0,1950627493.0
Lithuania,4266426697.0,1852153230.0,-2418368900.0
Luxemburg,1605800.0,1607412.0,-1612.0
Moldavia,5091257.27,2096853344.249,-1294394291.659
Morocco,0.0,750041204.0,0.0
Netherlands,26492430472.1,30512107226.300003,-15712167199.800001
North Macedonia,0.0,271380671.0,-271380671.0
Norway,29505066526.7,0.0,82689811137.7
Poland,7105048981.23,7074386359.991,30472822.239000022
Portugal,682296477.0,684730515.0,-2434038.0
Romania,6064493030.734517,6422136056.029,-357643025.2944832
Russia,0.0,2418368900.0,13056248487.3
San Marino,0.0,18529477.0,0.0
Serbia,6680746512.0,8236111202.0,-1504415690.0
Slovakia,13049288421.64,43253212053.3,-22662400541.66
Slovenia,645703081.0,645078749.0,624332.0
Spain,3091242557.0,3104102053.0,-762900700.0
Switzerland,11844633263.0,20016565119.587997,-4031401884.196
Turkey,12432615883.0,0.0,26307014210.0
Ukraine,27259516806.05,15154302324.32,-1748401800.8899999
United Kingdom,37730743577.1,10278493428.3,0.0
