countryName,totalEntries,totalExits,totalFlow
Albania,9035988451.0,9035988451.0,0.0
Austria,5640634442.0,27905037647.0,-25249829465.0
Belarus,0.0,0.0,2548624429.0
Belgium,46943515238.2,22306951448.6,24634527056.1
Bulgaria,18213163654.287,14486295316.0,-9050619140.713
Croatia,525929473.0,525929231.0,242.0
Czechia,17011908607.0,16229015102.0,518506599.0
Denmark,16134213501.0,7290329655.0,37791247.0
Estonia,0.0,0.0,0.0
Finland,0.0,0.0,0.0
France,27182159421.0,30012665328.0,-13363001073.0
Germany,93590073522.407,84647533725.746,16656106049.862001
Greece,12049069297.0,2701284572.0,9347784725.0
Hungary,9653033709.033041,3666130099.3599997,5595385609.673041
Ireland,0.0,0.0,-5234510250.0
Italy,21912903517.0,11228059552.0,7530793110.0
Latvia,701450460.0,701450460.0,0.0
Libya,0.0,0.0,2976798286.0
Lithuania,3766106649.0,1217482220.0,-2565743204.0
Luxemburg,6776469.0,6792085.932,-15616.93200000003
Moldavia,160274960.79,2798275668.4494,-317390249.38940006
Morocco,299283.0,548005636.0,0.0
Netherlands,32085688820.0,37958873542.4,-16267492521.293001
North Macedonia,0.0,350625853.0,-350625853.0
Norway,29421860870.1,0.0,92628863307.1
Poland,10940433200.93,10904250954.258,35817568.67200005
Portugal,812195748.0,815585039.0,-3389291.0
Romania,4021099618.3500414,4045154470.6693997,-24054852.319358744
Russia,0.0,2565743204.0,12909087233.0
San Marino,0.0,39814493.0,0.0
Serbia,5986864000.0,9210829584.0,-2832447584.0
Slovakia,15253200709.0,42824934711.1,-20678805335.1
Slovenia,1003071325.0,1003075533.0,-4208.0
Spain,4274227984.0,3414314621.0,312207010.0
Switzerland,16629034711.0,17528225383.988,-3915264526.9960003
Turkey,12434991055.0,0.0,25212478534.0
Ukraine,26293974774.690002,13676439458.91,-2612162375.4900007
United Kingdom,45701828454.0,9261463418.2,0.0
