countryName,totalEntries,totalExits,totalFlow
Austria,13300705751.0,48013329901.0,-46889795320.0
Belarus,728720794.0,0.0,728720794.0
Belgium,15416877845.8,9433573393.0,4736996674.8
Bulgaria,6399654317.8501,2905583172.0,3494071145.8500996
Croatia,526032147.0,505256062.0,20776085.0
Czechia,30197212919.2,17612710197.0,1697871932.2000008
Denmark,0.0,695200698.0,-695200698.0
Estonia,3595725278.3999996,1185052416.2,2410672862.2
Finland,0.0,0.0,0.0
France,9100393242.0,13706758467.0,-4606365225.0
Germany,62768146774.2,59415558830.846,4520911617.853996
Greece,864507192.0,582902455.0,281604737.0
Hungary,2536825524.3,8503351268.3,-3294925308.7
Ireland,0.0,0.0,-924752100.0
Italy,16483395624.0,8594947701.0,7872497868.0
Latvia,3849574195.3999996,1504259201.2,2345314994.2
Libya,2260389037.0,0.0,2260389037.0
Lithuania,319206785.0,319206785.0,-658370003.0
Luxemburg,135939114.0,135939076.0,38.0
Moldavia,3396405488.1,3519937171.9,3396405488.1
Morocco,0.0,0.0,0.0
Netherlands,8972148421.400002,12388372968.762001,-8078149353.3619995
North Macedonia,0.0,136139396.0,-136139396.0
Norway,26821959975.6,0.0,26821959975.6
Poland,5332127034.0,4829847190.384,502279843.6160002
Portugal,460758154.0,508326569.0,-47568415.0
Romania,9533187784.1451,4508230607.43,5158007556.915099
Russia,27821234217.3683,658370003.0,27821234217.3683
San Marino,0.0,6651399.0,0.0
Serbia,0.0,464376000.0,0.0
Slovakia,16787925215.0,53916391587.0,-25874477179.0
Slovenia,527148228.0,542054421.0,-14906193.0
Spain,3219448764.0,2138624757.0,1080824007.0
Switzerland,7909934564.0,29415824866.2,-6258517997.4
Turkey,563209474.0,1667215032.0,-1104005558.0
Ukraine,25174174478.095,9874616662.23,8510593828.465
United Kingdom,0.0,2236400127.7,0.0
