countryName,totalEntries,totalExits,totalFlow
Austria,37104506644.0,159637486032.18298,-165993167094.183
Belarus,0.0,0.0,651805840.0
Belgium,41286141312.1,29802136926.2,11484887387.9
Bulgaria,14262150836.14344,6972818429.434401,7289332406.70904
Croatia,1437327161.0,1418298204.0,19028957.0
Czechia,78820861275.3,38375392108.0,-11863899769.699997
Denmark,0.0,1485516144.0,-1485516144.0
Estonia,11803141665.0,3849712972.5,7953428692.5
Finland,1403782053.0,0.0,0.0
France,43451445725.0,36864124376.0,-13616015958.0
Germany,108622252835.251,168369596575.248,-47760685339.615
Greece,2464995283.0,1215956995.0,624519144.0
Hungary,22361668046.47,24211921084.7,-8252984253.53
Ireland,0.0,0.0,-2811826114.0
Italy,58131750488.0,26376961102.0,27172131154.0
Latvia,12151297129.0,4382124048.5,7769173080.5
Libya,0.0,0.0,4530583176.0
Lithuania,1170681186.0,532411076.0,-1212795889.0
Luxemburg,417187208.0,417187055.0,153.0
Moldavia,7856099270.9,8211099391.5,7856099270.9
Morocco,3593141212.0,0.0,0.0
Netherlands,19944949573.665,32987155713.782,-24971983118.986996
North Macedonia,0.0,361026440.0,-361026440.0
Norway,31488256252.8,0.0,77026934508.8
Poland,21867964919.0,21867856293.983,-593.9830017089844
Portugal,1059459102.0,1058805610.0,653492.0
Romania,22304166006.958443,11304247371.4984,11238374597.45404
Russia,7869273467.0,1199260159.0,90219826963.3642
San Marino,0.0,20081096.0,0.0
Serbia,0.0,1552817221.0,0.0
Slovakia,60591064690.0,185283468137.0,-84216740998.0
Slovenia,1028749951.0,1005143489.0,23606462.0
Spain,4804092133.0,4619888592.0,3777344753.0
Switzerland,27219872834.468,110386935856.0,-23712909741.844
Turkey,624519144.0,3385251621.0,-2136213333.0
Ukraine,148187746758.6092,25521824962.07,38119508993.981
United Kingdom,35209847747.0,8500412581.8,0.0
