countryName,totalEntries,totalExits,totalFlow
Austria,26891501887.0,111764871166.29001,-115231309815.29
Belarus,0.0,0.0,2442571167.0
Belgium,39798910745.5,27785870619.1,12012022721.4
Bulgaria,15103520171.83,7355618526.0,7747901645.83
Croatia,1885790933.0,1827423477.0,58367456.0
Czechia,72963534887.4,32439252143.3,-5925822335.900002
Denmark,5363671282.0,0.0,5363671282.0
Estonia,3682656082.6570005,1597507956.7040002,2085148125.953
Finland,1998953429.0,0.0,0.0
France,40584346658.0,33196064145.0,-12348753018.0
Germany,136204455536.101,180047937826.779,-38967414228.448006
Greece,2121329395.0,712258397.0,704091771.0
Hungary,16426808000.9,17340699742.4,-4581161586.1
Ireland,0.0,0.0,-4256417100.0
Italy,44238532641.0,16204259612.0,22980504701.0
Latvia,4494991009.657001,2521049359.704,1973941649.953
Libya,0.0,0.0,4954725467.0
Lithuania,3366112472.0,923541403.0,-2135832136.0
Luxemburg,628610584.0,627496242.0,1114342.0
Moldavia,8700643707.5,9698681597.903,8654969684.197
Morocco,5931547696.0,0.0,0.0
Netherlands,29535118690.0,43326135299.78,-26102011938.61
North Macedonia,0.0,194991531.0,-194991531.0
Norway,32712249177.7,0.0,78097201148.7
Poland,25645785213.231,25645627928.809,-40391.57799911499
Portugal,539862003.0,546403318.0,-6541315.0
Romania,24418796089.484,11982309464.6674,13239884032.4466
Russia,2235077175.7400002,2338221371.834,71580151183.2272
San Marino,0.0,25218722.0,0.0
Serbia,0.0,2077500000.0,0.0
Slovakia,48729225630.0,131458166394.0,-54167370029.0
Slovenia,2154131580.0,2151611303.0,2520277.0
Spain,5397541299.0,5346980181.0,5982108814.0
Switzerland,23108014224.0,110154034021.2,-26869141225.4
Turkey,704979227.0,4466496452.0,-3056537998.0
Ukraine,129701536791.5752,22623844278.3404,30662547463.2836
United Kingdom,31314924674.9,5502988130.7,0.0
