countryName,totalEntries,totalExits,totalFlow
Albania,7991443460.0,7991013015.0,430445.0
Austria,13770371738.0,33375439278.0,-33683649842.0
Belarus,0.0,0.0,1187862309.0
Belgium,44990270898.5,19524088893.6,25470097914.9
Bulgaria,10218554274.92,8373594384.635,-5627117866.715
Croatia,1475325561.0,1475672721.0,-347160.0
Czechia,2961522906.0,56770938969.145,-20374184857.145
Denmark,13673010693.0,6950408923.0,-11789042.0
Estonia,897166226.9760001,1584301577.0,-687135350.0239999
Finland,897166226.9760001,899688636.0,-2522409.0239999294
France,17018071925.0,19373066436.0,-10042870110.0
Germany,79091155909.498,97440246776.277,-42688770080.481
Greece,11113082831.0,2105465949.77,9007616881.23
Hungary,10434204424.91,6898079251.12,3536125173.79
Ireland,0.0,0.0,-3904059930.0
Italy,23584986488.0,10802479609.0,10585495401.0
Latvia,2175003252.0,2859616193.0,-684612941.0
Libya,0.0,0.0,2147441027.0
Lithuania,4024587519.0,2836725210.0,-1212091648.0
Luxemburg,0.0,0.0,0.0
Moldavia,16605909.75,1662592465.85,-461564856.12
Morocco,215773.0,809380648.0,0.0
Netherlands,31990871486.9,31121681307.5,-8382251556.402
North Macedonia,0.0,259055776.0,-259055776.0
Norway,29924435928.8,0.0,64399377885.8
Poland,8805381549.01,8834826763.53,-29534336.519999973
Portugal,905385205.0,897256028.0,8129177.0
Romania,3546891654.94,3582007377.008,-35115722.06799982
Russia,0.0,1212091648.0,13114649526.5
San Marino,0.0,17610231.0,0.0
Serbia,3519293267.0,4641945564.0,-1122652297.0
Slovakia,10287964010.0,39931950390.6,-22622379440.6
Slovenia,871330048.0,871025483.0,304565.0
Spain,3798580302.0,3815933124.0,-826517697.0
Switzerland,10658041378.0,21537573160.106003,-3805004294.7019997
Turkey,9733700768.0,0.0,17205778525.0
Ukraine,24064825817.190002,12894841742.913,-3129087152.2030005
United Kingdom,26865734757.9,10883590192.0,0.0
