countryName,totalEntries,totalExits,totalFlow
Austria,44385236604.0,142788612003.0,-135656858526.0
Belarus,0.0,0.0,1774172987.0
Belgium,35532896381.0,27223970153.9,8309941820.1
Bulgaria,10887054830.45,5056494829.0,5830560001.450001
Croatia,1668402163.0,1662760308.0,5641855.0
Czechia,97130631464.4,40402909773.0,-4346808468.600006
Denmark,1269353942.0,0.0,1269353942.0
Estonia,9445283908.6,3069916982.3,6375366926.3
Finland,1625774648.0,0.0,0.0
France,31799227435.0,21427370390.0,-1813347367.0
Germany,139999202932.677,184680300073.216,-18104185123.174004
Greece,1831614362.0,870904550.0,480356464.0
Hungary,21541094248.114838,22123183185.8,-8095227069.88516
Ireland,0.0,0.0,-3433561668.0
Italy,42845224347.0,26270204210.0,12006650738.0
Latvia,10142583276.6,4009423067.3,6133160209.3
Libya,0.0,0.0,4505445706.0
Lithuania,2713679072.0,939506085.0,-1537237065.0
Luxemburg,476400865.0,476361032.0,39833.0
Moldavia,6154061095.6,6607146718.5,6154061095.6
Morocco,3458112878.0,0.0,0.0
Netherlands,24732890607.885002,34494292358.764,-18208828717.544
North Macedonia,0.0,367331089.0,-367331089.0
Norway,22699879342.757,0.0,51562548713.757
Poland,23632303096.0,23632191419.352,-33291.352001190186
Portugal,950127753.0,974476264.0,-24348511.0
Romania,17460383612.52584,9550071175.767,8305495795.615841
Russia,6377584623.6,1537237065.0,77683168860.1325
San Marino,0.0,21059728.0,0.0
Serbia,0.0,1718159678.0,0.0
Slovakia,47744390107.0,148764307846.0,-68330631991.0
Slovenia,1934664148.0,1935595208.0,-931060.0
Spain,4993520929.0,4955895760.0,3495738047.0
Switzerland,12069873068.0,86244760270.0,-22243450323.0
Turkey,480353348.0,1752774221.0,-792067525.0
Ukraine,125164993153.0935,24646719257.91,29631112683.494003
United Kingdom,27589074555.0,9963970213.3,0.0
