,direction_key,flow_status,id,id_point_type,operator_key,period_from,period_to,period_type,point_key,point_label,tso_eic_code,unit,value
0,exit,Confirmed,1Physical Flowday2023-07-312023-08-01CZ-TSO-0001ITP-00535exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T00:00:00+02:00,2023-08-02T00:00:00+02:00,day,ITP-00535,Deutschneudorf EUGAL Brandov ,21X000000001304L,kWh/d,0
1,entry,Provisional,1Physical Flowday2023-08-012023-08-02FI-TSO-0003LNG-00072entrykWh/d,2.0,FI-TSO-0003,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,LNG-00072,Inkoo LNG (FI),21X000000001393X,kWh/d,60428457.67
2,entry,Provisional,1Physical Flowday2023-08-012023-08-02AT-TSO-0003ITP-00040entrykWh/d,0.0,AT-TSO-0003,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,9048613
3,exit,Provisional,1Physical Flowday2023-08-012023-08-02AT-TSO-0003ITP-00040exitkWh/d,0.0,AT-TSO-0003,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,11738258
4,entry,Provisional,1Physical Flowday2023-08-012023-08-02AT-TSO-0003ITP-00037entrykWh/d,0.0,AT-TSO-0003,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,0
5,exit,Provisional,1Physical Flowday2023-08-012023-08-02AT-TSO-0003ITP-00037exitkWh/d,0.0,AT-TSO-0003,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,0
6,entry,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00177entrykWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00177,Vyrava,21X-SK-A-A0A0A-N,kWh/d,0
7,exit,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00177exitkWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00177,Vyrava,21X-SK-A-A0A0A-N,kWh/d,0
8,entry,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00117entrykWh/d,1.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00117,Uzhhorod (UA) - Velké Kapušany (SK),21X-SK-A-A0A0A-N,kWh/d,329153853
9,exit,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00117exitkWh/d,1.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00117,Uzhhorod (UA) - Velké Kapušany (SK),21X-SK-A-A0A0A-N,kWh/d,0
10,entry,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00421entrykWh/d,14.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00421,Budince,21X-SK-A-A0A0A-N,kWh/d,0
11,exit,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00421exitkWh/d,14.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00421,Budince,21X-SK-A-A0A0A-N,kWh/d,171603160
12,entry,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00027entrykWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00027,Balassagyarmat (HU) / Velké Zlievce (SK),21X-SK-A-A0A0A-N,kWh/d,12851000
13,exit,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00027exitkWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00027,Balassagyarmat (HU) / Velké Zlievce (SK),21X-SK-A-A0A0A-N,kWh/d,0
14,entry,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00051entrykWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00051,Lanžhot,21X-SK-A-A0A0A-N,kWh/d,61455051
15,exit,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00051exitkWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00051,Lanžhot,21X-SK-A-A0A0A-N,kWh/d,0
16,entry,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00168entrykWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00168,Baumgarten,21X-SK-A-A0A0A-N,kWh/d,0
17,exit,Provisional,1Physical Flowday2023-08-012023-08-02SK-TSO-0001ITP-00168exitkWh/d,0.0,SK-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00168,Baumgarten,21X-SK-A-A0A0A-N,kWh/d,172383646
18,exit,Confirmed,1Physical Flowday2023-08-012023-08-02SI-TSO-0001DIS-00059exitkWh/d,17.0,SI-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,DIS-00059,Distribution (SI),21X-SI-A-A0A0A-8,kWh/d,13102872
19,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00015entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00015,Hora Svaté Kateřiny (CZ) / Deutschneudorf (Sayda) (DE),21X000000001304L,kWh/d,43732427
20,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00015exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00015,Hora Svaté Kateřiny (CZ) / Deutschneudorf (Sayda) (DE),21X000000001304L,kWh/d,0
21,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00051entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00051,Lanžhot,21X000000001304L,kWh/d,0
22,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00051exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00051,Lanžhot,21X000000001304L,kWh/d,61455828
23,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00123entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00123,Brandov STEGAL (CZ) / Stegal (DE),21X000000001304L,kWh/d,0
24,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00123exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00123,Brandov STEGAL (CZ) / Stegal (DE),21X000000001304L,kWh/d,0
25,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00150entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00150,Olbernhau (DE) / Hora Svaté Kateřiny (CZ),21X000000001304L,kWh/d,11424155
26,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00150exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00150,Olbernhau (DE) / Hora Svaté Kateřiny (CZ),21X000000001304L,kWh/d,0
27,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00158entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00158,Cieszyn (PL) / Český Těšín (CZ),21X000000001304L,kWh/d,0
28,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00158exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00158,Cieszyn (PL) / Český Těšín (CZ),21X000000001304L,kWh/d,4257712
29,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00010entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00010,Brandov-OPAL (DE),21X000000001304L,kWh/d,0
30,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00010exitkWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00010,Brandov-OPAL (DE),21X000000001304L,kWh/d,0
31,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001UGS-00004entrykWh/d,6.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,UGS-00004,UGS innogy (innogy Gas Storage),21X000000001304L,kWh/d,0
32,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001UGS-00004exitkWh/d,6.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,UGS-00004,UGS innogy (innogy Gas Storage),21X000000001304L,kWh/d,36887957
33,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001UGS-00003entrykWh/d,6.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,UGS-00003,UGS MND (MNG Gas Storage),21X000000001304L,kWh/d,0
34,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001UGS-00003exitkWh/d,6.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,UGS-00003,UGS MND (MNG Gas Storage),21X000000001304L,kWh/d,9263325
35,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001UGS-00446entrykWh/d,6.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
36,exit,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001UGS-00446exitkWh/d,6.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
37,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00535entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00535,Deutschneudorf EUGAL Brandov ,21X000000001304L,kWh/d,129405575
38,entry,Confirmed,1Physical Flowday2023-08-012023-08-02CZ-TSO-0001ITP-00537entrykWh/d,0.0,CZ-TSO-0001,2023-08-01T06:00:00+02:00,2023-08-02T06:00:00+02:00,day,ITP-00537,VIP Brandov,21X000000001304L,kWh/d,0
