,direction_key,flow_status,id,id_point_type,operator_key,period_from,period_to,period_type,point_key,point_label,tso_eic_code,unit,value
0,entry,Confirmed,1Physical Flowday2019-07-312019-08-01CZ-TSO-0001ITP-00537entrykWh/d,0.0,CZ-TSO-0001,2019-08-01T00:00:00+02:00,2019-08-02T00:00:00+02:00,day,ITP-00537,VIP Brandov-GASPOOL,21X000000001304L,kWh/d,0
1,exit,Confirmed,1Physical Flowday2019-07-312019-08-01CZ-TSO-0001ITP-00537exitkWh/d,0.0,CZ-TSO-0001,2019-08-01T00:00:00+02:00,2019-08-02T00:00:00+02:00,day,ITP-00537,VIP Brandov-GASPOOL,21X000000001304L,kWh/d,0
2,entry,Confirmed,1Physical Flowday2019-07-312019-08-01CZ-TSO-0001ITP-00538entrykWh/d,0.0,CZ-TSO-0001,2019-08-01T00:00:00+02:00,2019-08-02T00:00:00+02:00,day,ITP-00538,VIP Waidhaus NCG,21X000000001304L,kWh/d,0
3,exit,Confirmed,1Physical Flowday2019-07-312019-08-01CZ-TSO-0001ITP-00538exitkWh/d,0.0,CZ-TSO-0001,2019-08-01T00:00:00+02:00,2019-08-02T00:00:00+02:00,day,ITP-00538,VIP Waidhaus NCG,21X000000001304L,kWh/d,0
4,entry,Confirmed,1Physical Flowday2019-07-312019-08-01CZ-TSO-0001UGS-00446entrykWh/d,6.0,CZ-TSO-0001,2019-08-01T00:00:00+02:00,2019-08-02T00:00:00+02:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
5,exit,Confirmed,1Physical Flowday2019-07-312019-08-01CZ-TSO-0001UGS-00446exitkWh/d,6.0,CZ-TSO-0001,2019-08-01T00:00:00+02:00,2019-08-02T00:00:00+02:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
6,exit,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00084exitkWh/d,1.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00084,Mediesu Aurit (RO) - Tekovo (UA),21X0000000013279,kWh/d,0
7,exit,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00087exitkWh/d,1.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00087,Isaccea (RO) - Orlovka (UA) I,21X0000000013279,kWh/d,31232376.35
8,exit,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00089exitkWh/d,1.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00089,Drozdovichi (UA)  -Drozdowicze (PL) ,21X0000000013279,kWh/d,104428921.1
9,exit,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00095exitkWh/d,1.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00095,Beregdaróc 1400 (HU) - Beregovo (UA) (UA>HU),21X0000000013279,kWh/d,392710406.8
10,exit,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00167exitkWh/d,1.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00167,Isaccea (RO) - Orlovka (UA),21X0000000013279,kWh/d,16698162.57
11,entry,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00178entrykWh/d,7.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00178,Belgorod (RU)/ Ukraine (UA),21X0000000013279,kWh/d,0
12,entry,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00179entrykWh/d,7.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00179,Pisarevka (RU)/Ukraine (UA),21X0000000013279,kWh/d,474164151.7
13,entry,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00182entrykWh/d,7.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00182,Serebryanka (RU) / Ukraine (UA),21X0000000013279,kWh/d,0
14,entry,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00183entrykWh/d,7.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00183,Sokhranovka (RU) / Ukraine (UA),21X0000000013279,kWh/d,0
15,entry,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00184entrykWh/d,7.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00184,Sudzha (RU) / Ukraine (UA),21X0000000013279,kWh/d,1670339770
16,entry,Provisional,1Physical Flowday2019-08-012019-08-02UA-TSO-0001ITP-00185entrykWh/d,7.0,UA-TSO-0001,2019-08-01T05:00:00+02:00,2019-08-02T05:00:00+02:00,day,ITP-00185,Valuyki (RU) / Ukraine (UA),21X0000000013279,kWh/d,111279086.6
