,direction_key,flow_status,id,id_point_type,operator_key,period_from,period_to,period_type,point_key,point_label,tso_eic_code,unit,value
0,exit,Provisional,1Physical Flowday2023-09-302023-10-01CZ-TSO-0001ITP-00535exitkWh/d,0.0,CZ-TSO-0001,2023-10-01T00:00:00+02:00,2023-10-02T00:00:00+02:00,day,ITP-00535,Deutschneudorf EUGAL Brandov ,21X000000001304L,kWh/d,0
1,entry,Provisional,1Physical Flowday2023-10-012023-10-02FI-TSO-0003LNG-00072entrykWh/d,2.0,FI-TSO-0003,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,LNG-00072,Inkoo LNG (FI),21X000000001393X,kWh/d,47920225.48
2,entry,Provisional,1Physical Flowday2023-10-012023-10-02AT-TSO-0003ITP-00040entrykWh/d,0.0,AT-TSO-0003,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,17295532
3,exit,Provisional,1Physical Flowday2023-10-012023-10-02AT-TSO-0003ITP-00040exitkWh/d,0.0,AT-TSO-0003,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,9042
4,entry,Provisional,1Physical Flowday2023-10-012023-10-02AT-TSO-0003ITP-00037entrykWh/d,0.0,AT-TSO-0003,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,0
5,exit,Provisional,1Physical Flowday2023-10-012023-10-02AT-TSO-0003ITP-00037exitkWh/d,0.0,AT-TSO-0003,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,0
6,exit,Confirmed,1Physical Flowday2023-10-012023-10-02SI-TSO-0001DIS-00059exitkWh/d,17.0,SI-TSO-0001,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,DIS-00059,Distribution (SI),21X-SI-A-A0A0A-8,kWh/d,15867919
7,entry,Confirmed,1Physical Flowday2023-10-012023-10-02CZ-TSO-0001ITP-00015entrykWh/d,0.0,CZ-TSO-0001,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00015,Hora Svaté Kateřiny (CZ) / Deutschneudorf (Sayda) (DE),21X000000001304L,kWh/d,21573449
8,exit,Confirmed,1Physical Flowday2023-10-012023-10-02CZ-TSO-0001ITP-00015exitkWh/d,0.0,CZ-TSO-0001,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00015,Hora Svaté Kateřiny (CZ) / Deutschneudorf (Sayda) (DE),21X000000001304L,kWh/d,0
9,entry,Confirmed,1Physical Flowday2023-10-012023-10-02CZ-TSO-0001ITP-00051entrykWh/d,0.0,CZ-TSO-0001,2023-10-01T06:00:00+02:00,2023-10-02T06:00:00+02:00,day,ITP-00051,Lanžhot,21X000000001304L,kWh/d,0
