,direction_key,flow_status,id,id_point_type,operator_key,period_from,period_to,period_type,point_key,point_label,tso_eic_code,unit,value
0,entry,Confirmed,1Physical Flowday2019-09-302019-10-01CZ-TSO-0001ITP-00537entrykWh/d,0.0,CZ-TSO-0001,2019-10-01T00:00:00+02:00,2019-10-02T00:00:00+02:00,day,ITP-00537,VIP Brandov-GASPOOL,21X000000001304L,kWh/d,0
1,exit,Confirmed,1Physical Flowday2019-09-302019-10-01CZ-TSO-0001ITP-00537exitkWh/d,0.0,CZ-TSO-0001,2019-10-01T00:00:00+02:00,2019-10-02T00:00:00+02:00,day,ITP-00537,VIP Brandov-GASPOOL,21X000000001304L,kWh/d,0
2,entry,Confirmed,1Physical Flowday2019-09-302019-10-01CZ-TSO-0001ITP-00538entrykWh/d,0.0,CZ-TSO-0001,2019-10-01T00:00:00+02:00,2019-10-02T00:00:00+02:00,day,ITP-00538,VIP Waidhaus NCG,21X000000001304L,kWh/d,0
3,exit,Confirmed,1Physical Flowday2019-09-302019-10-01CZ-TSO-0001ITP-00538exitkWh/d,0.0,CZ-TSO-0001,2019-10-01T00:00:00+02:00,2019-10-02T00:00:00+02:00,day,ITP-00538,VIP Waidhaus NCG,21X000000001304L,kWh/d,0
4,entry,Confirmed,1Physical Flowday2019-09-302019-10-01CZ-TSO-0001UGS-00446entrykWh/d,6.0,CZ-TSO-0001,2019-10-01T00:00:00+02:00,2019-10-02T00:00:00+02:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
5,exit,Confirmed,1Physical Flowday2019-09-302019-10-01CZ-TSO-0001UGS-00446exitkWh/d,6.0,CZ-TSO-0001,2019-10-01T00:00:00+02:00,2019-10-02T00:00:00+02:00,day,UGS-00446,VGS Moravia,21X000000001304L,kWh/d,0
6,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00084exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00084,Mediesu Aurit (RO) - Tekovo (UA),21X0000000013279,kWh/d,0
7,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00087exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00087,Isaccea (RO) - Orlovka (UA) I,21X0000000013279,kWh/d,45902939.58
8,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00089exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00089,Drozdovichi (UA)  -Drozdowicze (PL) ,21X0000000013279,kWh/d,104024266.7
9,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00095exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00095,Beregdaróc 1400 (HU) - Beregovo (UA) (UA>HU),21X0000000013279,kWh/d,295824662.2
10,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00167exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00167,Isaccea (RO) - Orlovka (UA),21X0000000013279,kWh/d,28663618.09
11,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00178entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00178,Belgorod (RU)/ Ukraine (UA),21X0000000013279,kWh/d,0
12,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00179entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00179,Pisarevka (RU)/Ukraine (UA),21X0000000013279,kWh/d,440175456
13,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00182entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00182,Serebryanka (RU) / Ukraine (UA),21X0000000013279,kWh/d,0
14,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00183entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00183,Sokhranovka (RU) / Ukraine (UA),21X0000000013279,kWh/d,0
15,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00184entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00184,Sudzha (RU) / Ukraine (UA),21X0000000013279,kWh/d,1761055558
16,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00185entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00185,Valuyki (RU) / Ukraine (UA),21X0000000013279,kWh/d,122195332.4
17,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00299exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00299,Isaccea (RO) - Orlovka (UA) II,21X0000000013279,kWh/d,230934660.1
18,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00300exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00300,Isaccea (RO) - Orlovka (UA) III,21X0000000013279,kWh/d,2356051.17
19,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00428exitkWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00428,Grebenyky,21X0000000013279,kWh/d,318625868.8
20,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00429exitkWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00429,Oleksiivka,21X0000000013279,kWh/d,0
21,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00431exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00431,Uzhgorod-1,21X0000000013279,kWh/d,0
22,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00432exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00432,Uzhgorod-2,21X0000000013279,kWh/d,520034787.8
23,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00433exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00433,Uzhgorod-3,21X0000000013279,kWh/d,548209024.9
24,exit,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00434exitkWh/d,1.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00434,Uzhgorod-4,21X0000000013279,kWh/d,501494670.8
25,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00440entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00440,GMS Caushany,21X0000000013279,kWh/d,298473174.3
26,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00441entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00441,Volchansk (RU) / Ukraine (UA),21X0000000013279,kWh/d,147627.4094
27,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00442entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00442,Lozne,21X0000000013279,kWh/d,0
28,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00445entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00445,Kobryn,21X0000000013279,kWh/d,0
29,entry,Provisional,1Physical Flowday2019-10-012019-10-02UA-TSO-0001ITP-00446entrykWh/d,7.0,UA-TSO-0001,2019-10-01T05:00:00+02:00,2019-10-02T05:00:00+02:00,day,ITP-00446,Mozyr,21X0000000013279,kWh/d,0
30,entry,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00007entrykWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00007,Überackern SUDAL (AT) / Überackern 2 (DE),21X-AT-B-A0A0A-K,kWh/d,0
31,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00007exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00007,Überackern SUDAL (AT) / Überackern 2 (DE),21X-AT-B-A0A0A-K,kWh/d,0
32,entry,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00019entrykWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00019,Überackern ABG (AT) / Überackern (DE),21X-AT-B-A0A0A-K,kWh/d,31700736
33,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00019exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00019,Überackern ABG (AT) / Überackern (DE),21X-AT-B-A0A0A-K,kWh/d,0
34,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00043exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00043,Mosonmagyarovar,21X-AT-B-A0A0A-K,kWh/d,122895000
35,entry,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00062entrykWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00062,Baumgarten (Gas Connect Austria),21X-AT-B-A0A0A-K,kWh/d,71008572
36,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00079exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00079,Murfeld (AT) / Ceršak (SI),21X-AT-B-A0A0A-K,kWh/d,41977612
37,entry,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00140entrykWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00140,Oberkappel,21X-AT-B-A0A0A-K,kWh/d,155740739
38,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00140exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00140,Oberkappel,21X-AT-B-A0A0A-K,kWh/d,0
39,entry,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00162entrykWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00162,Baumgarten (WAG),21X-AT-B-A0A0A-K,kWh/d,123929576
40,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00162exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00162,Baumgarten (WAG),21X-AT-B-A0A0A-K,kWh/d,0
41,exit,Confirmed,1Physical Flowday2019-10-012019-10-02AT-TSO-0001ITP-00255exitkWh/d,0.0,AT-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00255,Petrzalka,21X-AT-B-A0A0A-K,kWh/d,0
42,entry,Provisional,1Physical Flowday2019-10-012019-10-02AT-TSO-0003ITP-00037entrykWh/d,0.0,AT-TSO-0003,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,823762488
43,exit,Provisional,1Physical Flowday2019-10-012019-10-02AT-TSO-0003ITP-00037exitkWh/d,0.0,AT-TSO-0003,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00037,Baumgarten (TAG),21X-AT-C-A0A0A-B,kWh/d,0
44,entry,Provisional,1Physical Flowday2019-10-012019-10-02AT-TSO-0003ITP-00040entrykWh/d,0.0,AT-TSO-0003,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,0
45,exit,Provisional,1Physical Flowday2019-10-012019-10-02AT-TSO-0003ITP-00040exitkWh/d,0.0,AT-TSO-0003,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00040,Tarvisio (IT) / Arnoldstein (AT),21X-AT-C-A0A0A-B,kWh/d,697576065
46,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001DIS-00191entrykWh/d,17.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,DIS-00191,Distribution (BE) H-zone,21X-BE-A-A0A0A-Y,kWh/d,0
47,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001DIS-00191exitkWh/d,17.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,DIS-00191,Distribution (BE) H-zone,21X-BE-A-A0A0A-Y,kWh/d,93743847
48,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001DIS-00192entrykWh/d,17.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,DIS-00192,Distribution (BE) L-zone,21X-BE-A-A0A0A-Y,kWh/d,0
49,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001DIS-00192exitkWh/d,17.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,DIS-00192,Distribution (BE) L-zone,21X-BE-A-A0A0A-Y,kWh/d,69619993
50,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001FNC-00033entrykWh/d,18.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,FNC-00033,Final consumers (BE) (Fluxys) Industrial clients H-zone,21X-BE-A-A0A0A-Y,kWh/d,0
51,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001FNC-00033exitkWh/d,18.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,FNC-00033,Final consumers (BE) (Fluxys) Industrial clients H-zone,21X-BE-A-A0A0A-Y,kWh/d,113031576
52,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001FNC-00034entrykWh/d,18.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,FNC-00034,Final consumers (BE) (Fluxys) Industrial clients L-zone,21X-BE-A-A0A0A-Y,kWh/d,0
53,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001FNC-00034exitkWh/d,18.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,FNC-00034,Final consumers (BE) (Fluxys) Industrial clients L-zone,21X-BE-A-A0A0A-Y,kWh/d,9045995
54,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001FNC-00035entrykWh/d,18.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,FNC-00035,Final consumers (BE) (Fluxys) Power Plants H-zone,21X-BE-A-A0A0A-Y,kWh/d,0
55,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001FNC-00035exitkWh/d,18.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,FNC-00035,Final consumers (BE) (Fluxys) Power Plants H-zone,21X-BE-A-A0A0A-Y,kWh/d,159803086
56,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00038entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00038,Hilvarenbeek,21X-BE-A-A0A0A-Y,kWh/d,160624210
57,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00038exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00038,Hilvarenbeek,21X-BE-A-A0A0A-Y,kWh/d,0
58,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00061entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00061,Zeebrugge IZT,21X-BE-A-A0A0A-Y,kWh/d,10098
59,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00061exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00061,Zeebrugge IZT,21X-BE-A-A0A0A-Y,kWh/d,0
60,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00088entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00088,Zandvliet H-gas,21X-BE-A-A0A0A-Y,kWh/d,52006222
61,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00088exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00088,Zandvliet H-gas,21X-BE-A-A0A0A-Y,kWh/d,0
62,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00101entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00101,Zelzate,21X-BE-A-A0A0A-Y,kWh/d,0
63,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00101exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00101,Zelzate,21X-BE-A-A0A0A-Y,kWh/d,78508165
64,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00106entrykWh/d,1.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00106,Zeebrugge ZPT,21X-BE-A-A0A0A-Y,kWh/d,441843294
65,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00106exitkWh/d,1.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00106,Zeebrugge ZPT,21X-BE-A-A0A0A-Y,kWh/d,0
66,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00110entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00110,Zelzate (Zebra Pijpleiding),21X-BE-A-A0A0A-Y,kWh/d,0
67,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00110exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00110,Zelzate (Zebra Pijpleiding),21X-BE-A-A0A0A-Y,kWh/d,56987037
68,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00112entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00112,Eynatten 1 (BE) // Lichtenbusch / Raeren (DE),21X-BE-A-A0A0A-Y,kWh/d,18518564
69,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00112exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00112,Eynatten 1 (BE) // Lichtenbusch / Raeren (DE),21X-BE-A-A0A0A-Y,kWh/d,0
70,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00113entrykWh/d,5.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00113,GDLux (BE) / Bras Petange (LU),21X-BE-A-A0A0A-Y,kWh/d,0
71,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00113exitkWh/d,5.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00113,GDLux (BE) / Bras Petange (LU),21X-BE-A-A0A0A-Y,kWh/d,19052170
72,entry,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00115entrykWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00115,Blaregnies L (BE) / Taisnières B (FR),21X-BE-A-A0A0A-Y,kWh/d,0
73,exit,Confirmed,1Physical Flowday2019-10-012019-10-02BE-TSO-0001ITP-00115exitkWh/d,0.0,BE-TSO-0001,2019-10-01T06:00:00+02:00,2019-10-02T06:00:00+02:00,day,ITP-00115,Blaregnies L (BE) / Taisnières B (FR),21X-BE-A-A0A0A-Y,kWh/d,80393895
