,geojson_name,point_label,point_type,geojson_id,tp_map_x,tp_map_y,latitude,longitude
49,Mediesu Aurit,VIP Mediesu Aurit - Isaccea (RO-UA),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_972,47.11,-38.13,47.786743,23.1376644
50,Vitzeroda,Vitzeroda MÜP,Transmission Point,INET_N_188,-30.32,-16.51,50.881761,10.060498
51,Dornum,Dornum GASPOOL,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_274,-44.21,7.36,53.66,7.404
52,Paldiski,Paldiski LNG,LNG Entry point,INET_N_312,41.92,52.64,59.38445,24.07494
53,Dunkerque,Dunkerque LNG,LNG Entry point,INET_N_481,-72.64,-14.6,51.033134,2.194792
54,Bacton,Bacton IPs,Cross-Border Transmission IP between EU and ExtEU,INET_N_516,-75.76,1.98,52.8506,1.466
55,Bilbao,Bilbao,LNG Entry point,INET_N_369,-99.23,-59.54,43.3612,-3.09473
56,Zeebrugge,Zeebrugge LNG,LNG Entry point,INET_N_50,-66.53,-11.5,51.323,3.213
57,Kipoi,Kipoi,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_605,53.92,-66.68,40.970417,26.307161
58,Bizzarone,Bizzarone,Cross-Border Transmission IP between EU and Non-EU,INET_N_764,-36.43,-48.6,45.834135,8.946413
59,Recanati,Recanati (IT),Transmission Point,INET_N_715,-12.96,-59.29,43.402314,13.55712
60,Huelva,Huelva,LNG Entry point,INET_N_322,-119.27,-74.87,37.2615,-6.9422
61,Montoir De Bretagne,Montoir de Bretagne,LNG Entry point,INET_N_436,-94.39,-40.65,47.32,-2.14
62,Emden,Emden (NPT),Cross-Border Transmission IP between EU and Non-EU (import),INET_N_264,-45.79,6.75,53.3594029,7.2060095
63,Slobodnica,Slobodnica - Sotin (HR) / Bačko Novo Selo (RS),Cross-Border Transmission IP between EU and Non-EU,INET_N_615,17.27,-51.32,45.1566,17.9314
64,Alexandroupolis,Alexandroupolis LNG,LNG Entry point,INET_N_602,51.55,-67.24,40.9399278,25.9940986
65,Isle Of Grain,Isle of Grain,LNG Entry point ExtEU,INET_N_491,-79.85,-11.39,51.45,0.711
66,Cartagena,Cartagena,LNG Entry point,INET_N_324,-87.89,-74.19,37.624,-0.998
67,Tallinn,Tallinn LNG,LNG Entry point,INET_N_313,46.76,53.41,59.40601,25.0045
68,Milford Haven,Milford Haven,LNG Entry point ExtEU,INET_N_497,-110.74,-8.23,51.71,-5.03
69,Cork,Cork LNG (IE),LNG Entry point,INET_N_640,-126.83,-7.62,51.89,-8.46
70,Bacton,Bacton (BBL),Cross-Border Transmission IP between EU and ExtEU,INET_N_516,-75.45,1.17,52.8506,1.466
71,Swinoujscie,Swinoujscie,LNG Entry point,INET_N_937,-7.91,10.01,53.909167,14.294722
72,Klaipeda,Klaipeda (LNG),LNG Entry point,INET_N_796,27.07,25.36,55.7253,21.101954
73,Alexandroupolis,Alexandroupolis Amphitriti,LNG Entry point,INET_N_602,52.21,-66.27,40.9399278,25.9940986
74,Narva,Narva,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_311,63.59,52.75,59.3796931,28.1790751
75,Isaccea,Isaccea (RO) - Orlovka (UA) II,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_964,65.61,-51.23,45.265423,28.4607273
76,Orlovka,Isaccea (RO) - Orlovka (UA) II,Cross-Border Transmission IP between EU and Non-EU (import),INET_N_1066,65.61,-51.23,45.3199,28.45287
