countryName,totalEntries,totalExits
Austria,8373592226.0,46737726315.0
Belarus,905631399.0,0.0
Belgium,18038747774.9,21837704450.8
Bulgaria,6460365584.4,3888104495.0
Croatia,1028587320.0,1611557424.0
Czechia,21075432954.0,22745620013.0
Denmark,2286282609.0,0.0
Estonia,2029276211.663,703496509.666
Finland,0.0,0.0
France,26065437744.0,29852749576.0
Germany,64026612196.8,79874427082.743
Greece,1724209665.0,2122380693.0
Hungary,3502772638.84,9649702100.0
Ireland,0.0,1504005600.0
Italy,22892317918.0,26506457421.0
Latvia,2232403276.663,834412855.336
Libya,1912716075.0,0.0
Lithuania,1247061888.0,1103636544.0
Luxemburg,244110742.0,737129940.0
Moldavia,3572830640.1,0.0
Morocco,0.0,0.0
Netherlands,34650417289.9,40845263404.08
North Macedonia,0.0,61386909.0
Norway,26236242019.8,0.0
Poland,14910015730.0,20789235651.083
Portugal,4218144876.0,2638395860.0
Romania,12492784777.946,9256799612.878
Russia,27440866084.8063,76768368.006
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,16268055177.0,34008830548.0
Slovenia,710185916.0,985118544.0
Spain,10544137667.0,10641762341.0
Switzerland,8492161046.0,18792594424.8
Turkey,608429158.0,1646594055.0
Ukraine,25625115664.253998,18972994555.48
United Kingdom,0.0,8940917792.0
