countryName,totalEntries,totalExits
Albania,3462398285.0,3460332639.0
Austria,2635962573.0,9802866468.0
Belarus,341813651.0,0.0
Belgium,22338788398.3,20047478171.2
Bulgaria,3019482344.9379997,8031264214.54
Croatia,1423011390.0,1226856400.0
Czechia,3146683667.0,7406530607.0
Denmark,2749510798.0,2722264198.0
Estonia,364490464.509,444463881.11
Finland,1146225075.4490001,397839241.0
France,26784054882.0,17164687826.0
Germany,18931475893.0,27414692261.307
Greece,4665818070.0,1777506210.54
Hungary,6672341586.002762,9967064520.36
Ireland,4907777.0,1575191477.0
Italy,15555844384.0,27834707342.0
Latvia,846420042.0,1083842138.0
Libya,942268241.0,0.0
Lithuania,2151430585.0,1427194708.0
Luxemburg,559030.0,120750176.0
Moldavia,760933.57,466036890.699
Morocco,0.0,0.0
Netherlands,37142931098.9,30510049403.4
North Macedonia,0.0,122691873.0
Norway,16528715083.1,0.0
Poland,7045386716.88,10475055960.355
Portugal,3821776757.0,1960559151.0
Romania,5102503126.032762,6433816560.179
Russia,4969124559.5,0.0
San Marino,0.0,0.0
Serbia,2931039589.0,3506279300.0
Slovakia,6275806534.5,11191539802.1
Slovenia,411814964.0,604580370.0
Spain,15774598569.0,7823954999.0
Switzerland,1121051292.0,1422835146.724
Turkey,10279607582.0,0.0
Ukraine,7471207708.37,7993110775.8
United Kingdom,909018608.0,5151158559.0
