countryName,totalEntries,totalExits
Austria,13300705751.0,60220635088.0
Belarus,728720794.0,0.0
Belgium,18941959997.8,18245158075.0
Bulgaria,6399654317.8501,4008041419.0
Croatia,1104044666.0,1136218075.0
Czechia,30197212919.2,30850843789.0
Denmark,1066052530.0,695200698.0
Estonia,3595725278.3999996,1258788798.2
Finland,0.0,0.0
France,19224310568.0,36975835845.0
Germany,67742975876.64,67924132336.486
Greece,1909714702.0,2416290143.0
Hungary,3186145020.3,13571359234.0
Ireland,0.0,924752100.0
Italy,23820905272.0,38035727346.0
Latvia,3849574195.3999996,1504259201.2
Libya,2260389037.0,0.0
Lithuania,919833031.0,977576788.0
Luxemburg,135939114.0,410883166.0
Moldavia,3396405488.1,0.0
Morocco,0.0,0.0
Netherlands,22761446666.0,33411584641.962
North Macedonia,0.0,136139396.0
Norway,26821959975.6,0.0
Poland,10081278256.0,13332081631.383999
Portugal,4098707320.0,2940923725.0
Romania,12073851122.8451,9173987719.63
Russia,27821234217.3683,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,16787925215.0,42662402394.0
Slovenia,527148228.0,707359212.0
Spain,10796109414.0,10696341224.0
Switzerland,7909934564.0,14168452561.4
Turkey,563209474.0,1667215032.0
Ukraine,25174174478.095,20183517821.53
United Kingdom,1248943946.0,5069553287.0
