countryName,totalEntries,totalExits
Albania,3274689463.0,3561948411.0
Austria,5155677228.0,16183213931.0
Belarus,1148638323.0,0.0
Belgium,33768990711.2,30812997792.2
Bulgaria,2641323252.21,7505826932.0
Croatia,1971638391.0,1379138119.0
Czechia,8200843957.0,3804033360.0
Denmark,2716722383.0,2677051773.0
Estonia,0.0,262736026.54
Finland,718306737.28,0.0
France,49474701027.0,31093502726.0
Germany,27587154726.1,28553007371.006
Greece,4787478217.0,1675842388.0
Hungary,9999685235.01876,6924977191.13787
Ireland,48976419446.0,2333354504.0
Italy,35580623026.0,34672027589.0
Latvia,314030359.0,945733669.0
Libya,733627650.0,0.0
Lithuania,960310873.0,1510701351.0
Luxemburg,0.0,726496476.0
Moldavia,120020266.14,172312048.39
Morocco,0.0,0.0
Netherlands,61557975278.887,45374317936.0
North Macedonia,0.0,143750104.0
Norway,38425599509.1,0.0
Poland,7946244403.0,22711230681.968
Portugal,3600349617.0,1847052195.0
Romania,7122817867.37876,5932468802.16587
Russia,4965142030.9,0.0
San Marino,0.0,0.0
Serbia,2435071000.0,3365671027.0
Slovakia,8254866882.0,17253338555.52
Slovenia,466567075.0,877872430.0
Spain,18523612362.0,8489213932.0
Switzerland,4567743580.0,7318845640.136
Turkey,9691211077.0,0.0
Ukraine,7624342369.37,9070965030.96
United Kingdom,1040374569.0,17762856683.0
