countryName,totalEntries,totalExits
Albania,3051138586.0,3328640317.0
Austria,3410955772.0,14056435718.0
Belarus,589885184.0,0.0
Belgium,31138191184.8,22182133746.0
Bulgaria,2784616406.659,7938096591.73
Croatia,1622458864.0,1183998461.0
Czechia,3169075612.0,9259886973.0
Denmark,4817743292.0,4661619007.0
Estonia,385656194.05,473519905.728
Finland,1170417244.8600001,422297752.0
France,16654474584.0,28022909875.0
Germany,27949753532.1,35420846564.927
Greece,4465299285.0,1470332725.73
Hungary,7255519186.223513,11641783804.48
Ireland,4372222.0,1661036122.0
Italy,14099168800.0,24994825573.0
Latvia,753159560.0,889474832.0
Libya,323963880.0,0.0
Lithuania,1988575701.0,1440378089.0
Luxemburg,0.0,196415486.0
Moldavia,737495.74,701311662.7540001
Morocco,0.0,0.0
Netherlands,44372308894.0,41737857704.8
North Macedonia,0.0,132932577.0
Norway,33895157312.5,0.0
Poland,7520307959.92,11730910842.855
Portugal,3805596039.0,2010422535.0
Romania,5602564336.774513,6924843442.734
Russia,5059221348.9,0.0
San Marino,0.0,0.0
Serbia,2939269000.0,3536810505.0
Slovakia,7162421094.8,12723306909.1
Slovenia,227000889.0,369248614.0
Spain,16209136867.0,6989075008.0
Switzerland,3348418161.0,4522034463.054
Turkey,10100601001.0,0.0
Ukraine,8258565106.65,8641637862.980001
United Kingdom,3307902464.0,7462381043.0
