fromCountry,toCountry,direction,totalGasFlow
Austria,Austria,exit,109532473.0
Austria,Germany,entry,1822911241.0
Austria,Germany,exit,1815198391.0
Austria,Hungary,entry,795463488.0
Austria,Hungary,exit,796816388.0
Austria,Italy,entry,8495949689.0
Austria,Italy,exit,8495940736.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,48684434244.0
Austria,Slovenia,entry,517054852.0
Austria,Slovenia,exit,577059995.0
Belgium,Belgium,entry,6346921400.0
Belgium,Belgium,exit,13913430010.0
Belgium,France,entry,2784618744.0
Belgium,France,exit,2784618879.0
Belgium,Germany,entry,357037820.555
Belgium,Germany,exit,468530486.0
Belgium,Luxemburg,entry,176927045.0
Belgium,Luxemburg,exit,210429821.0
Belgium,Netherlands,entry,6046352414.3
Belgium,Netherlands,exit,6354598662.5
Belgium,Norway,entry,5033212540.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,24632235.0
Bulgaria,Bulgaria,entry,58218528.0
Bulgaria,Bulgaria,exit,880351635.0
Bulgaria,Greece,entry,91579580.0
Bulgaria,Greece,exit,95590698.0
Bulgaria,North Macedonia,exit,74224892.0
Bulgaria,Romania,entry,5203455624.92
Bulgaria,Romania,exit,835797369.0
Bulgaria,Turkey,exit,1810148950.0
Croatia,Croatia,entry,390821966.0
Croatia,Croatia,exit,1047980748.0
Croatia,Hungary,entry,460589158.0
Croatia,Hungary,exit,458680000.0
Croatia,Slovenia,entry,270268560.0
Croatia,Slovenia,exit,243343432.0
Czechia,Czechia,entry,18567712.0
Czechia,Czechia,exit,24402136.0
Czechia,Germany,entry,27377889392.0
Czechia,Germany,exit,24890800384.0
Czechia,Poland,entry,0.0
Czechia,Poland,exit,0.0
Czechia,Slovakia,entry,1562152614.0
Czechia,Slovakia,exit,1415037615.0
Denmark,Denmark,entry,39427007.0
Denmark,Germany,entry,2767457672.0
Denmark,Germany,exit,0.0
Estonia,Estonia,exit,159555410.35999998
Estonia,Latvia,entry,164878324.0
Estonia,Latvia,exit,301200989.0
Estonia,Russia,entry,0.0
Estonia,Russia,exit,0.0
Finland,Russia,entry,835225527.0
France,Belgium,entry,2784618744.0
France,Belgium,exit,2784618879.0
France,France,entry,30417971694.0
France,France,exit,21763339774.0
France,Germany,entry,2056881572.0
France,Germany,exit,1028416000.0
France,Norway,entry,5014158514.0
France,Spain,entry,500515228.0
France,Spain,exit,502790110.0
France,Switzerland,entry,0.0
France,Switzerland,exit,5250508624.0
Germany,Austria,entry,1388124425.0
Germany,Austria,exit,2178884107.0
Germany,Belgium,entry,357037820.555
Germany,Belgium,exit,468530486.0
Germany,Czechia,entry,21440107677.0
Germany,Czechia,exit,12141153050.0
Germany,Denmark,entry,2767457672.0
Germany,Denmark,exit,0.0
Germany,France,entry,1028440786.0
Germany,France,exit,1028416000.0
Germany,Germany,entry,9797893960.0
Germany,Germany,exit,11476072718.07
Germany,Luxemburg,entry,93237197.0
Germany,Luxemburg,exit,93337834.0
Germany,Netherlands,entry,9236966629.122
Germany,Netherlands,exit,10235708342.1
Germany,Norway,entry,7297010010.0
Germany,Norway,exit,0.0
Germany,Poland,entry,9645304794.0
Germany,Poland,exit,8772510600.01
Germany,Switzerland,entry,410039.986
Germany,Switzerland,exit,24116433629.72
Greece,Bulgaria,entry,91579580.0
Greece,Bulgaria,exit,95590698.0
Greece,Greece,entry,1258126821.0
Greece,Greece,exit,1377560475.0
Greece,Turkey,entry,327535172.0
Greece,Turkey,exit,0.0
Hungary,Austria,entry,795463488.0
Hungary,Austria,exit,796816388.0
Hungary,Croatia,entry,460589158.0
Hungary,Croatia,exit,458680000.0
Hungary,Hungary,entry,590245976.0
Hungary,Hungary,exit,3977741414.0
Hungary,Romania,entry,540746470.45
Hungary,Romania,exit,538865000.0
Hungary,Serbia,exit,1073630800.0
Hungary,Slovakia,entry,419988881.0
Hungary,Slovakia,exit,404350000.0
Hungary,Ukraine,entry,4578739000.0
Hungary,Ukraine,exit,515238000.0
Ireland,United Kingdom,exit,1661159400.0
Italy,Austria,entry,8495949689.0
Italy,Austria,exit,8495940736.0
Italy,Italy,entry,8470045346.0
Italy,Italy,exit,22227273049.0
Italy,Libya,entry,2059956716.0
Italy,San Marino,exit,15673797.0
Italy,Slovenia,entry,0.0
Italy,Slovenia,exit,0.0
Italy,Switzerland,entry,6769147266.0
Italy,Switzerland,exit,49082277.0
Latvia,Estonia,entry,164878324.0
Latvia,Estonia,exit,301200989.0
Latvia,Lithuania,entry,247813385.0
Latvia,Lithuania,exit,247813385.0
Latvia,Russia,entry,0.0
Latvia,Russia,exit,0.0
Lithuania,Belarus,entry,928977083.0
Lithuania,Latvia,entry,247813385.0
Lithuania,Latvia,exit,247813385.0
Lithuania,Lithuania,entry,902825551.0
Lithuania,Russia,exit,859149189.0
Luxemburg,Belgium,entry,176927045.0
Luxemburg,Belgium,exit,210429821.0
Luxemburg,Germany,entry,93237197.0
Luxemburg,Germany,exit,93337834.0
Luxemburg,Luxemburg,entry,0.0
Luxemburg,Luxemburg,exit,544600690.0
Moldavia,Romania,exit,0.0
Moldavia,Ukraine,entry,3403895654.9
Moldavia,Ukraine,exit,149973873.456
Morocco,Spain,entry,2578751673.0
Netherlands,Belgium,entry,6046352414.3
Netherlands,Belgium,exit,6354598662.5
Netherlands,Germany,entry,6349529695.2
Netherlands,Germany,exit,16406749801.5
Netherlands,Netherlands,entry,25870069166.2
Netherlands,Netherlands,exit,19441922549.4
Netherlands,United Kingdom,exit,162533560.0
North Macedonia,Bulgaria,exit,74224892.0
Norway,Belgium,entry,5033212540.0
Norway,Belgium,exit,0.0
Norway,Germany,entry,7297010010.0
Norway,Germany,exit,0.0
Poland,Czechia,entry,105621.0
Poland,Czechia,exit,0.0
Poland,Germany,entry,9645304794.0
Poland,Germany,exit,8772510600.01
Poland,Poland,entry,4975310878.0
Poland,Poland,exit,12778541756.0
Portugal,Portugal,entry,3259524236.0
Portugal,Portugal,exit,1862701258.0
Portugal,Spain,entry,117699811.0
Portugal,Spain,exit,118563592.0
Romania,Bulgaria,entry,5203455624.92
Romania,Bulgaria,exit,835797369.0
Romania,Hungary,entry,540746470.45
Romania,Hungary,exit,538865000.0
Romania,Moldavia,exit,0.0
Romania,Romania,entry,3111292654.365
Romania,Romania,exit,4667694363.98
Romania,Ukraine,entry,3278058012.24
Romania,Ukraine,exit,2936455988.69
Russia,Estonia,entry,0.0
Russia,Estonia,exit,0.0
Russia,Latvia,entry,0.0
Russia,Latvia,exit,0.0
Slovakia,Austria,entry,0.0
Slovakia,Austria,exit,36513325683.0
Slovakia,Czechia,entry,1562152614.0
Slovakia,Czechia,exit,1415037615.0
Slovakia,Hungary,entry,419988881.0
Slovakia,Hungary,exit,404350000.0
Slovakia,Ukraine,entry,16394005876.0
Slovakia,Ukraine,exit,2062155038.0
Slovenia,Austria,entry,517054852.0
Slovenia,Austria,exit,577059995.0
Slovenia,Croatia,entry,270268560.0
Slovenia,Croatia,exit,243343432.0
Slovenia,Italy,entry,0.0
Slovenia,Italy,exit,0.0
Slovenia,Slovenia,exit,279688433.0
Spain,France,entry,500515228.0
Spain,France,exit,502790110.0
Spain,Portugal,entry,117699811.0
Spain,Portugal,exit,118563592.0
