countryName,totalEntries,totalExits
Albania,3234706432.0,3537900080.0
Austria,8046056478.0,17029613128.0
Belarus,1172948132.0,0.0
Belgium,34967077893.0,29482702504.2
Bulgaria,1911674493.35,5841926263.13
Croatia,1668396240.0,1397385612.0
Czechia,7088841174.0,4474121502.0
Denmark,2248686724.0,2208533759.0
Estonia,431027517.49,614737112.8700001
Finland,573558508.44,431498334.90000004
France,42753274649.0,29358364290.0
Germany,26858572347.7,40882892149.448
Greece,4943408212.0,1238440454.13
Hungary,7722429645.951,7658802121.857262
Ireland,277578592199.0,2610218374.0
Italy,30904733822.0,31134545844.0
Latvia,541462758.0,1097957865.0
Libya,1031404499.0,0.0
Lithuania,1900813060.0,1935548333.0
Luxemburg,327116788.0,648413064.0
Moldavia,84747054.53,316866445.242
Morocco,0.0,0.0
Netherlands,60707518952.78001,45393220345.700005
North Macedonia,0.0,154536008.0
Norway,35906256841.9,0.0
Poland,7416457223.06,18709855576.88
Portugal,3359973718.0,2051349083.0
Romania,5130348217.761001,4472672448.617262
Russia,4885907461.6,0.0
San Marino,0.0,0.0
Serbia,1257787000.0,2599723353.0
Slovakia,5399008302.67,14208272515.1
Slovenia,614996426.0,949091245.0
Spain,25293737039.0,10444781326.0
Switzerland,4412133797.0,7724725036.776
Turkey,8165175956.0,0.0
Ukraine,6208180873.9,7574731135.84
United Kingdom,1311221886.0,17314049525.0
