countryName,totalEntries,totalExits
Austria,11924509039.0,63884076339.0
Belarus,1773104962.0,0.0
Belgium,23564763573.0,31523468773.4
Bulgaria,8151556907.73,4970873539.0
Croatia,1486178232.0,1888608903.0
Czechia,27474179001.0,31797122218.0
Denmark,1444243382.0,148591660.0
Estonia,1200006963.0,742281533.3199999
Finland,0.0,0.0
France,33275635031.0,36375178896.0
Germany,77453449219.95999,79119697565.44
Greece,1880611548.0,2907150366.0
Hungary,7514038100.87,9608408357.0
Ireland,0.0,1392514980.0
Italy,43691317582.0,43681612119.0
Latvia,1000544336.0,505951076.0
Libya,1645054394.0,0.0
Lithuania,22962120.0,866939164.0
Luxemburg,411630390.0,1241081595.0
Moldavia,4168623949.3,271405816.17
Morocco,0.0,0.0
Netherlands,63129885246.908,52065271604.6
North Macedonia,0.0,114414034.0
Norway,33931338474.5,0.0
Poland,15931055017.0,25479548741.41
Portugal,3759932910.0,1945012865.0
Romania,17183248651.606,11102813794.6
Russia,29286262076.404,291535728.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,16436025848.0,41173024032.0
Slovenia,637095059.0,1044737822.0
Spain,10007594828.0,11834975805.0
Switzerland,5355160662.0,13397065985.8
Turkey,323358230.0,1501362185.0
Ukraine,27880195327.239998,19662641680.27
United Kingdom,0.0,17790781721.0
