fromCountry,toCountry,direction,totalGasFlow
Austria,Austria,exit,153029755.0
Austria,Germany,entry,1673984717.0
Austria,Germany,exit,2004712175.0
Austria,Hungary,entry,1451513775.0
Austria,Hungary,exit,1451513888.0
Austria,Italy,entry,10337510734.0
Austria,Italy,exit,10337487110.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,61949382804.0
Austria,Slovenia,entry,613150089.0
Austria,Slovenia,exit,679629848.0
Belgium,Belgium,entry,7009257098.0
Belgium,Belgium,exit,17447719400.0
Belgium,France,entry,2685355738.0
Belgium,France,exit,2685357135.0
Belgium,Germany,entry,120369823.076
Belgium,Germany,exit,120355389.0
Belgium,Luxemburg,entry,328876363.0
Belgium,Luxemburg,exit,365990593.0
Belgium,Netherlands,entry,7159827765.7
Belgium,Netherlands,exit,7317019281.2
Belgium,Norway,entry,5169961533.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,772070250.0
Bulgaria,Bulgaria,entry,772591146.0
Bulgaria,Bulgaria,exit,1356245887.0
Bulgaria,Greece,entry,513695148.0
Bulgaria,Greece,exit,514484810.0
Bulgaria,North Macedonia,exit,127173609.0
Bulgaria,Romania,entry,7384508555.0
Bulgaria,Romania,exit,593695502.057
Bulgaria,Turkey,exit,2386594038.0
Croatia,Croatia,entry,969046735.0
Croatia,Croatia,exit,1349514841.0
Croatia,Hungary,entry,504977881.0
Croatia,Hungary,exit,505060000.0
Croatia,Slovenia,entry,251722482.0
Croatia,Slovenia,exit,228939998.0
Czechia,Czechia,entry,896553200.0
Czechia,Czechia,exit,64360568.0
Czechia,Germany,entry,28139977998.7
Czechia,Germany,exit,26677975497.3
Czechia,Poland,entry,262541465.0
Czechia,Poland,exit,288892547.0
Czechia,Slovakia,entry,2035347345.0
Czechia,Slovakia,exit,1823893007.0
Denmark,Denmark,entry,38950572.0
Denmark,Germany,entry,2444587888.0
Denmark,Germany,exit,0.0
Estonia,Estonia,exit,197001635.67000002
Estonia,Latvia,entry,158839007.0
Estonia,Latvia,exit,138796987.0
Estonia,Russia,entry,47730862.0
Estonia,Russia,exit,0.0
Finland,Russia,entry,789726505.0
France,Belgium,entry,2685355738.0
France,Belgium,exit,2685357135.0
France,France,entry,28563134138.0
France,France,exit,26336311541.0
France,Germany,entry,2104637756.0
France,Germany,exit,1048432000.0
France,Norway,entry,5754308118.0
France,Spain,entry,533906747.0
France,Spain,exit,537746764.0
France,Switzerland,entry,0.0
France,Switzerland,exit,1575057192.0
Germany,Austria,entry,1925013803.0
Germany,Austria,exit,3330378285.0
Germany,Belgium,entry,120369823.076
Germany,Belgium,exit,120355389.0
Germany,Czechia,entry,22214765416.7
Germany,Czechia,exit,12451337417.3
Germany,Denmark,entry,2444587888.0
Germany,Denmark,exit,0.0
Germany,France,entry,1052318878.0
Germany,France,exit,1048432000.0
Germany,Germany,entry,10655145660.0
Germany,Germany,exit,9763438951.38
Germany,Luxemburg,entry,22954215.0
Germany,Luxemburg,exit,21922779.2
Germany,Netherlands,entry,9689130998.395
Germany,Netherlands,exit,11896568125.1
Germany,Norway,entry,7880611114.4
Germany,Norway,exit,0.0
Germany,Poland,entry,9351258786.0
Germany,Poland,exit,8489947378.518
Germany,Switzerland,entry,0.0
Germany,Switzerland,exit,23049991877.4
Greece,Bulgaria,entry,513695148.0
Greece,Bulgaria,exit,514484810.0
Greece,Greece,entry,856791177.0
Greece,Greece,exit,1766368110.0
Greece,Turkey,entry,935219110.0
Greece,Turkey,exit,0.0
Hungary,Austria,entry,1451513775.0
Hungary,Austria,exit,1451513888.0
Hungary,Croatia,entry,504977881.0
Hungary,Croatia,exit,505060000.0
Hungary,Hungary,entry,1307574255.0
Hungary,Hungary,exit,6213944222.0
Hungary,Romania,entry,440159702.59000003
Hungary,Romania,exit,440123000.0
Hungary,Serbia,exit,1256085000.0
Hungary,Slovakia,entry,637657673.0
Hungary,Slovakia,exit,598663000.0
Hungary,Ukraine,entry,5220395000.0
Hungary,Ukraine,exit,6872000.0
Ireland,United Kingdom,exit,1495689386.0
Italy,Austria,entry,10337510734.0
Italy,Austria,exit,10337487110.0
Italy,Italy,entry,27575076986.0
Italy,Italy,exit,32781416129.0
Italy,Libya,entry,1786082589.0
Italy,San Marino,exit,26827364.0
Italy,Slovenia,entry,0.0
Italy,Slovenia,exit,0.0
Italy,Switzerland,entry,1921294798.0
Italy,Switzerland,exit,67743710.0
Latvia,Estonia,entry,158839007.0
Latvia,Estonia,exit,138796987.0
Latvia,Lithuania,entry,26381951.0
Latvia,Lithuania,exit,12971713.0
Latvia,Russia,entry,0.0
Latvia,Russia,exit,0.0
Lithuania,Belarus,entry,976944873.0
Lithuania,Latvia,entry,26381951.0
Lithuania,Latvia,exit,12971713.0
Lithuania,Lithuania,entry,718622150.0
Lithuania,Russia,exit,986481473.0
Luxemburg,Belgium,entry,328876363.0
Luxemburg,Belgium,exit,365990593.0
Luxemburg,Germany,entry,22954215.0
Luxemburg,Germany,exit,21922779.2
Luxemburg,Luxemburg,entry,0.0
Luxemburg,Luxemburg,exit,709642594.0
Moldavia,Romania,exit,0.0
Moldavia,Ukraine,entry,4889079778.2
Moldavia,Ukraine,exit,648244150.16
Morocco,Spain,entry,2817488359.0
Netherlands,Belgium,entry,7159827765.7
Netherlands,Belgium,exit,7317019281.2
Netherlands,Germany,entry,6001273097.3
Netherlands,Germany,exit,20219735468.1
