countryName,totalEntries,totalExits
Austria,14558823761.0,66289558165.0
Belarus,652881888.0,0.0
Belgium,23773063650.3,25927193962.9
Bulgaria,5004426728.0,3281455053.967
Croatia,1604403353.0,1105767965.0
Czechia,35089031867.6,39235335115.0
Denmark,1218144215.0,65980886.0
Estonia,3233255034.7400002,1110314182.6799998
Finland,0.0,0.0
France,19237617715.0,35353553244.0
Germany,81171149671.9,75218336284.1
Greece,1437081157.0,1633407814.0
Hungary,3245319329.19,15729727642.0
Ireland,0.0,1068619871.0
Italy,26879737558.0,44327238298.0
Latvia,3571464164.7400002,1445560122.87
Libya,2040881982.0,0.0
Lithuania,1317418509.0,1008358188.0
Luxemburg,177446959.0,537688072.0
Moldavia,2651967480.4,0.0
Morocco,0.0,0.0
Netherlands,32322903100.519997,41121859760.37
North Macedonia,0.0,108218889.0
Norway,32867459884.9,0.0
Poland,13596309206.0,16449856778.07
Portugal,3742990490.0,1944688545.0
Romania,10117104428.22476,8437771545.767
Russia,31187829709.696102,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,19169410150.0,44927986349.0
Slovenia,408170884.0,606661628.0
Spain,9247125904.0,9136455642.0
Switzerland,8083077166.0,12750597860.119999
Turkey,540566656.0,1202434092.0
Ukraine,27528464309.23476,18361005496.53
United Kingdom,3320420160.0,9003658078.0
