countryName,totalEntries,totalExits,totalFlow
Austria,11196592454.0,48562026909.0,-49172857300.0
Belarus,928977083.0,0.0,928977083.0
Belgium,14422489594.855,9818177848.5,4579679511.3550005
Bulgaria,5295035204.92,2815761909.0,2479273295.92
Croatia,730857718.0,702023432.0,28834286.0
Czechia,23002365912.0,13556190665.0,-3303472087.0
Denmark,2767457672.0,0.0,2767457672.0
Estonia,164878324.0,301200989.0,-136322665.0
Finland,0.0,0.0,0.0
France,4313574758.0,9566333613.0,-5252758855.0
Germany,57768489513.713,62755707343.75,-1266484535.1170006
Greece,255347166.0,95590698.0,159756468.0
Hungary,2216787997.45,6805935839.7,-1570792190.55
Ireland,0.0,0.0,-1661159400.0
Italy,15265096955.0,8495940736.0,6704400145.0
Latvia,412691709.0,549014374.0,-136322665.0
Libya,2059956716.0,0.0,2059956716.0
Lithuania,247813385.0,247813385.0,-859149189.0
Luxemburg,270164242.0,303767655.0,-33603413.0
Moldavia,3403895654.9,3868889021.456,3253921781.4440002
Morocco,0.0,0.0,0.0
Netherlands,15319001438.421999,16590307004.6,-7604880585.578
North Macedonia,0.0,74224892.0,-74224892.0
Norway,30615101465.0,0.0,30615101465.0
Poland,9645304794.0,8772510600.01,872794193.9899998
Portugal,117699811.0,118563592.0,-863781.0
Romania,9022260107.61,4675092106.59,4711141749.92
Russia,29689229687.5687,859149189.0,29689229687.5687
San Marino,0.0,15673797.0,0.0
Serbia,0.0,1073630800.0,0.0
Slovakia,18376147371.0,52565976897.0,-22018720965.0
Slovenia,787323412.0,820403427.0,-33080015.0
Spain,3196966712.0,621353702.0,2575613010.0
Switzerland,6769557305.986,29416024530.72,-7761115165.254
Turkey,327535172.0,1810148950.0,-1482613778.0
Ukraine,27654698543.14,5663822900.146,13816000294.394001
United Kingdom,0.0,1848325195.0,0.0
