countryName,totalEntries,totalExits,totalFlow
Albania,3545915840.0,3861630669.0,-315714829.0
Austria,1723272483.0,10572520086.0,-11228304744.0
Belarus,917684808.0,0.0,917684808.0
Belgium,30202559492.2,9846333529.1,11416324336.1
Bulgaria,1883097821.712,5578400328.0,-3695302506.288
Croatia,255397221.0,247023566.0,8373655.0
Czechia,5075269482.0,7755937646.0,139800790.0
Denmark,2843302645.0,2809453815.0,33848830.0
Estonia,0.0,0.0,0.0
Finland,0.0,0.0,0.0
France,5654954475.0,11607376714.0,-4916479566.0
Germany,26951453505.6,34584055781.872,4947420292.220001
Greece,5109151822.0,1097092105.0,4012059717.0
Hungary,4369129082.867902,1886852230.74,2433543852.127902
Ireland,6767776.0,0.0,-1859780025.0
Italy,7862138403.0,4763226153.0,3039795803.0
Latvia,317629300.0,332679087.0,-15049787.0
Libya,913356059.0,0.0,913356059.0
Lithuania,422332460.0,437382247.0,-931514605.0
Luxemburg,0.0,0.0,0.0
Moldavia,27682785.97,827349505.6624,-180294919.4824
Morocco,0.0,189449630.0,0.0
Netherlands,20413271639.867,15871397855.4,-6930284378.532999
North Macedonia,0.0,126649943.0,-126649943.0
Norway,34792595607.8,0.0,34792595607.8
Poland,3437787636.3,3381738619.278,56049017.021999985
Portugal,418078457.0,426137311.0,-8058854.0
Romania,1440307125.359902,1490877517.7224,-50570392.362497985
Russia,4881841303.2,916464818.0,4881841303.2
San Marino,0.0,9980107.0,0.0
Serbia,2392228000.0,3538792082.0,-1097831082.0
Slovakia,5759615488.0,16430288663.3,-7906004431.3
Slovenia,342963852.0,313905673.0,29058179.0
Spain,1567397177.0,1175871065.0,202076482.0
Switzerland,4659083382.0,7564018134.262,-1531843626.7539997
Turkey,10103889610.0,0.0,10103889610.0
Ukraine,5124797495.49,4860687418.2300005,-355261722.95000017
United Kingdom,0.0,4132607007.0,0.0
