country,pointKey,pointLabel,isSingleOperator,pointTpMapX,pointTpMapY,fromSystemLabel,fromInfrastructureTypeLabel,fromCountryKey,fromCountryLabel,fromDirectionKey,fromOperatorKey,fromBzKey,fromPointKey,toSystemLabel,toInfrastructureTypeLabel,toCountryKey,toCountryLabel,toOperatorKey,toOperatorLabel,toBzKey,toPointKey,toPointLabel,validFrom,validto,lastUpdateDateTime,id
RO,ITP-00154,Ungheni,False,61.35,-40.38,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,ITP-00154,Transmission,Transmission,MD,Moldavia,RO-TSO-0004,Vestmoldtransgaz,,ITP-00154,Ungheni,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00154RO_NTSRO-TSO-0001ITP-00154exitTransmissionRO-TSO-0004ITP-00154entry
RO,ITP-00299,Isaccea (RO) - Orlovka (UA) II,False,65.61,-51.23,RO_DTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO-TBP-----,ITP-00299,Transmission,Transmission,UA,Ukraine,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00299RO_DTSRO-TSO-0001ITP-00299exitTransmission
RO,ITP-00300,Isaccea (RO) - Orlovka (UA) III,False,65.61,-51.23,RO_DTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO-TBP-----,ITP-00300,Transmission,Transmission,UA,Ukraine,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00300RO_DTSRO-TSO-0001ITP-00300exitTransmission
RO,ITP-00438,VIP Mediesu Aurit - Isaccea (RO-UA),False,47.11,-38.13,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,ITP-00438,Transmission,Transmission,UA,Ukraine,,,,,,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00438RO_NTSRO-TSO-0001ITP-00438exitTransmission
RO,PRD-00162,Production (RO),False,50.16942361,-44.83163449,Production,Production,RO,Romania,,,,,RO_NTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,RO---------,PRD-00162,Production,,,Jan  6 2025  3:40AM,4InterconnectionsPRD-00162ProductionRO_NTSRO-TSO-0001PRD-00162entry
RO,UGS-00013,VIP Romgaz UGS (RO),False,52.09958038,-46.61283459,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,UGS-00013,Storage,Storage,RO,Romania,RO-SSO-0004,DEPOGAZ PLOIESTI,,UGS-00013,VIP Romgaz UGS (RO),,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00013RO_NTSRO-TSO-0001UGS-00013exitStorageRO-SSO-0004UGS-00013entry
RO,UGS-00013,VIP Romgaz UGS (RO),False,52.09958038,-46.61283459,Storage,Storage,RO,Romania,exit,RO-SSO-0004,,UGS-00013,RO_NTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,RO---------,UGS-00013,VIP Romgaz UGS (RO),,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00013StorageRO-SSO-0004UGS-00013exitRO_NTSRO-TSO-0001UGS-00013entry
RO,UGS-00332,UGS Targu Mures,False,46.09927119,-39.34581777,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,UGS-00332,Storage,Storage,RO,Romania,RO-SSO-0002,Depomures,,UGS-00332,UGS Targu Mures,,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00332RO_NTSRO-TSO-0001UGS-00332exitStorageRO-SSO-0002UGS-00332entry
RO,UGS-00332,UGS Targu Mures,False,46.09927119,-39.34581777,Storage,Storage,RO,Romania,exit,RO-SSO-0002,,UGS-00332,RO_NTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,RO---------,UGS-00332,Targu Mures UGS,,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00332StorageRO-SSO-0002UGS-00332exitRO_NTSRO-TSO-0001UGS-00332entry
RO,ITP-00087,Isaccea (RO) - Orlovka (UA) I,False,65.61,-51.23,RO_NTS,Transmission,RO,Romania,exit,RO-TSO-0001,RO---------,ITP-00087,Transmission,Transmission,UA,Ukraine,UA-TSO-0001,Gas TSO UA,,ITP-00087,Isaccea/Orlovka-1,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00087RO_NTSRO-TSO-0001ITP-00087exitTransmissionUA-TSO-0001ITP-00087entry
RO,UGS-00327,UGS Cetatea de Balta,False,43.16146408,-43.76834184,Storage,Storage,RO,Romania,,,,,RO_NTS,Transmission,RO,Romania,RO-TSO-0001,Transgaz,RO---------,UGS-00327,UGS Cetatea de Balta,,,Jan  6 2025  3:40AM,4InterconnectionsUGS-00327StorageRO_NTSRO-TSO-0001UGS-00327entry
CH,ITP-00039,Oltingue (FR) / Rodersdorf (CH),False,-43.9,-38.97,Switzerland,Transmission,CH,Switzerland,exit,CH-TSO-0001,CH---------,ITP-00039,TRF,Transmission,FR,France,FR-TSO-0003,GRTgaz,FR----------,ITP-00039,OLTINGUE,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00039SwitzerlandCH-TSO-0001ITP-00039exitTRFFR-TSO-0003ITP-00039entry
CH,ITP-00039,Oltingue (FR) / Rodersdorf (CH),False,-43.9,-38.97,Switzerland,Transmission,CH,Switzerland,exit,CH-TSO-0002,CH---------,ITP-00039,TRF,Transmission,FR,France,FR-TSO-0003,GRTgaz,FR----------,ITP-00039,OLTINGUE,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00039SwitzerlandCH-TSO-0002ITP-00039exitTRFFR-TSO-0003ITP-00039entry
CH,ITP-00136,Griespass (CH) / Passo Gries (IT),False,-39.77,-45.92,Switzerland,Transmission,CH,Switzerland,exit,CH-TSO-0001,CH---------,ITP-00131,Italy,Transmission,IT,Italy,IT-TSO-0001,SNAM RETE GAS,IT---------,ITP-00136,GRIESPASS,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00136SwitzerlandCH-TSO-0001ITP-00131exitItalyIT-TSO-0001ITP-00136entry
CH,ITP-00136,Griespass (CH) / Passo Gries (IT),False,-39.77,-45.92,Switzerland,Transmission,CH,Switzerland,exit,CH-TSO-0002,CH---------,ITP-00125,Italy,Transmission,IT,Italy,IT-TSO-0001,SNAM RETE GAS,IT---------,ITP-00136,GRIESPASS,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00136SwitzerlandCH-TSO-0002ITP-00125exitItalyIT-TSO-0001ITP-00136entry
CH,ITP-00228,RC Basel,False,-39.99,-37.86,Switzerland,Transmission,CH,Switzerland,exit,CH-DSO-0001,CH---------,ITP-00228,DE THE BZ,Transmission,DE,Germany,DE-TSO-0014,TNBW,DE-THE-----,ITP-00228,RC Basel,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00228SwitzerlandCH-DSO-0001ITP-00228exitDE THE BZDE-TSO-0014ITP-00228entry
CH,ITP-00229,RC Thayngen-Fallentor,False,-37.84,-38.13,Switzerland,Transmission,CH,Switzerland,exit,CH-DSO-0002,CH---------,ITP-00229,DE THE BZ,Transmission,DE,Germany,DE-TSO-0014,TNBW,DE-THE-----,ITP-00229,RC Thayngen-Fallentor,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00229SwitzerlandCH-DSO-0002ITP-00229exitDE THE BZDE-TSO-0014ITP-00229entry
CH,ITP-00281,Jura,False,-50.62,-46.59,Switzerland,Transmission,CH,Switzerland,exit,CH-DSO-0003,CH---------,ITP-00281,TRF,Transmission,FR,France,FR-TSO-0003,GRTgaz,FR----------,ITP-00281,Jura,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00281SwitzerlandCH-DSO-0003ITP-00281exitTRFFR-TSO-0003ITP-00281entry
CH,ITP-00294,Wallbach,False,-42.01,-39.03,Switzerland,Transmission,CH,Switzerland,exit,CH-TSO-0002,CH---------,ITP-00294,DE THE BZ,Transmission,DE,Germany,DE-TSO-0007,Fluxys TENP GmbH,DE-THE-----,ITP-00294,Wallbach,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00294SwitzerlandCH-TSO-0002ITP-00294exitDE THE BZDE-TSO-0007ITP-00294entry
CH,ITP-00294,Wallbach,False,-42.01,-39.03,Switzerland,Transmission,CH,Switzerland,exit,CH-TSO-0002,CH---------,ITP-00294,DE THE BZ,Transmission,DE,Germany,DE-TSO-0019,Fluxys TENP & OGE,DE-THE-----,ITP-00294,Wallbach,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00294SwitzerlandCH-TSO-0002ITP-00294exitDE THE BZDE-TSO-0019ITP-00294entry
CH,ITP-00544,VIP Germany-CH,False,-40.78,-38.93,Switzerland,Transmission,CH,Switzerland,,,CH---------,,DE THE BZ,Transmission,DE,Germany,DE-TSO-0007,Fluxys TENP GmbH,DE-THE-----,ITP-00544,VIP Germany-CH,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00544SwitzerlandDE THE BZDE-TSO-0007ITP-00544entry
CH,ITP-00294,Wallbach,False,-42.01,-39.03,,,,,,,,,DE THE BZ,Transmission,DE,Germany,DE-TSO-0007,Fluxys TENP GmbH,DE-THE-----,ITP-00294,Wallbach,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00294SwitzerlandCH-TSO-0001ITP-00294exitDE THE BZDE-TSO-0007ITP-00294entry
CH,ITP-00294,Wallbach,False,-42.01,-39.03,,,,,,,,,DE THE BZ,Transmission,DE,Germany,DE-TSO-0019,Fluxys TENP & OGE,DE-THE-----,ITP-00294,Wallbach,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00294SwitzerlandCH-TSO-0001ITP-00294exitDE THE BZDE-TSO-0019ITP-00294entry
FI,ITP-00550,BALTICCONNECTOR,False,42.41,53.49,Finland,Transmission,FI,Finland,exit,FI-TSO-0003,FI---------,ITP-00550,Joint Bal Zone EE/LV,Transmission,EE,Estonia,EE-TSO-0001,Elering,EE-LV------,ITP-00550,BALTICCONNECTOR,,,Jan  6 2025  3:40AM,4InterconnectionsITP-00550FinlandFI-TSO-0003ITP-00550exitJoint Bal Zone EE/LVEE-TSO-0001ITP-00550entry
FI,LNG-00011,Hamina LNG,True,57.3,59.45,LNG Terminals,LNG Terminals,FI,Finland,,,,,Finland,Transmission,FI,Finland,FI-TSO-0003,Gasgrid Finland,FI---------,LNG-00011,Hamina LNG,,,Jan  6 2025  3:40AM,4InterconnectionsLNG-00011LNG TerminalsFinlandFI-TSO-0003LNG-00011entry
