countryName,totalEntries,totalExits
Austria,14348967424.0,68825682598.0
Belarus,1690832930.0,0.0
Belgium,20933108621.6,27928302228.3
Bulgaria,11643044945.437,7068895596.0
Croatia,1904456774.0,2070683252.0
Czechia,27515274149.0,31558821133.0
Denmark,693074054.0,190302598.0
Estonia,396627945.0,399978044.5
Finland,0.0,0.0
France,41603852811.0,34804656683.0
Germany,77436154969.02,81703555578.38
Greece,2793021777.0,3885002302.0
Hungary,11043655110.01,10583402706.0
Ireland,0.0,1441190700.0
Italy,48034353307.0,49109293420.0
Latvia,244521070.0,153734583.0
Libya,1703364014.0,0.0
Lithuania,42316742.0,636912274.0
Luxemburg,361383665.0,1131108617.0
Moldavia,6437669854.8,445138996.49
Morocco,0.0,0.0
Netherlands,53509828015.499,49091483400.31
North Macedonia,0.0,159326653.0
Norway,35649007053.9,0.0
Poland,15628676880.0,26304567413.989998
Portugal,3880501328.0,2198876636.0
Romania,24010254859.777,14548859579.529999
Russia,30619537818.6652,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,16261270119.0,41845455078.0
Slovenia,626527142.0,1062240010.0
Spain,10360575480.0,12610259900.0
Switzerland,3992157256.0,12512737358.0
Turkey,796477788.0,2992060663.0
Ukraine,31334162039.91,24009415830.920002
United Kingdom,0.0,17391643276.0
