fromCountry,toCountry,direction,totalGasFlow
Albania,Italy,entry,3274689463.0
Albania,Italy,exit,3561948411.0
Austria,Austria,exit,281849115.0
Austria,Germany,entry,1276641724.0
Austria,Germany,exit,820283919.0
Austria,Hungary,entry,20009155.0
Austria,Hungary,exit,20009167.0
Austria,Italy,entry,1228388802.0
Austria,Italy,exit,1429593992.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,13311734276.0
Austria,Slovenia,entry,345075789.0
Austria,Slovenia,exit,319743462.0
Belgium,Belgium,entry,10489761442.0
Belgium,Belgium,exit,15886719804.0
Belgium,France,entry,3392131789.0
Belgium,France,exit,3392131790.0
Belgium,Germany,entry,3172170077.0
Belgium,Germany,exit,6374886004.0
Belgium,Netherlands,entry,3456675856.8
Belgium,Netherlands,exit,4095707024.2
Belgium,Norway,entry,5057123316.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,1063553170.0
Bulgaria,Bulgaria,entry,1281940200.0
Bulgaria,Bulgaria,exit,2161051511.0
Bulgaria,Greece,entry,502888869.0
Bulgaria,Greece,exit,1265195782.0
Bulgaria,North Macedonia,exit,143750104.0
Bulgaria,Romania,entry,570142299.21
Bulgaria,Romania,exit,570158508.0
Bulgaria,Serbia,entry,0.0
Bulgaria,Serbia,exit,3365671027.0
Bulgaria,Turkey,entry,5406621729.0
Bulgaria,Turkey,exit,0.0
Croatia,Croatia,entry,1687885325.0
Croatia,Croatia,exit,1122812830.0
Croatia,Hungary,entry,253018776.0
Croatia,Hungary,exit,229750030.0
Croatia,Slovenia,entry,30734290.0
Croatia,Slovenia,exit,26575259.0
Czechia,Czechia,entry,3850449318.0
Czechia,Czechia,exit,0.0
Czechia,Germany,entry,3988913987.0
Czechia,Germany,exit,1724260190.0
Czechia,Poland,entry,285408007.0
Czechia,Poland,exit,285408007.0
Czechia,Slovakia,entry,1794437819.0
Czechia,Slovakia,exit,1794365163.0
Denmark,Denmark,entry,38501204.0
Denmark,Germany,entry,174296035.0
Denmark,Germany,exit,172185119.0
Denmark,Norway,entry,3517276542.0
Denmark,Poland,entry,2503925144.0
Denmark,Poland,exit,2504866654.0
Estonia,Estonia,exit,262736026.54
Estonia,Finland,entry,0.0
Estonia,Finland,exit,0.0
Estonia,Latvia,entry,0.0
Estonia,Latvia,exit,0.0
Estonia,Russia,entry,0.0
Estonia,Russia,exit,0.0
Finland,Estonia,entry,0.0
Finland,Estonia,exit,0.0
Finland,Finland,entry,718306737.28
France,Belgium,entry,3392131789.0
France,Belgium,exit,3392131790.0
France,France,entry,45752477924.0
France,France,exit,21844862429.0
France,Germany,entry,112000.0
France,Germany,exit,116326.0
France,Norway,entry,4085261665.0
France,Spain,entry,329979314.0
France,Spain,exit,349675931.0
France,Switzerland,entry,0.0
France,Switzerland,exit,5506716250.0
Germany,Austria,entry,3562203482.0
Germany,Austria,exit,1641739595.0
Germany,Belgium,entry,10219486095.4
Germany,Belgium,exit,0.0
Germany,Czechia,entry,2270329586.0
Germany,Czechia,exit,3167171032.0
Germany,Denmark,entry,174296035.0
Germany,Denmark,exit,172185119.0
Germany,France,entry,112000.0
Germany,France,exit,232652.0
Germany,Germany,entry,0.0
Germany,Germany,exit,6730941678.13
Germany,Luxemburg,entry,0.0
Germany,Luxemburg,exit,0.0
Germany,Netherlands,entry,15625797005.687
Germany,Netherlands,exit,11966999048.6
Germany,Norway,entry,6875113972.1
Germany,Norway,exit,0.0
Germany,Poland,entry,176881615.0
Germany,Poland,exit,176910973.868
Germany,Russia,entry,0.0
Germany,Switzerland,entry,2018688648.0
Germany,Switzerland,exit,4696827272.408
Greece,Bulgaria,entry,502888869.0
Greece,Bulgaria,exit,1265195782.0
Greece,Greece,exit,410646606.0
Greece,Turkey,entry,4284589348.0
Hungary,Austria,entry,20009155.0
Hungary,Austria,exit,20009167.0
Hungary,Croatia,entry,253018776.0
Hungary,Croatia,exit,229750030.0
Hungary,Hungary,entry,6657454556.0
Hungary,Hungary,exit,5869223295.0
Hungary,Romania,entry,102952112.78875999
Hungary,Romania,exit,128150800.25787
Hungary,Serbia,entry,2435071000.0
Hungary,Serbia,exit,147188000.0
Hungary,Slovakia,entry,502398000.0
Hungary,Slovakia,exit,502398000.0
Hungary,Ukraine,entry,28781635.23
Hungary,Ukraine,exit,28257898.88
Ireland,United Kingdom,exit,2333354504.0
Italy,Albania,entry,3274689463.0
Italy,Albania,exit,3561948411.0
Italy,Austria,entry,1228388802.0
Italy,Austria,exit,1429593992.0
Italy,Italy,entry,28437732833.0
Italy,Italy,exit,29504984683.0
Italy,Libya,entry,733627650.0
Italy,San Marino,exit,23994217.0
Italy,Slovenia,entry,90756996.0
Italy,Slovenia,exit,83738537.0
Italy,Switzerland,entry,2549054932.0
