countryName,totalEntries,totalExits
Austria,11196592454.0,60478982227.0
Belarus,928977083.0,0.0
Belgium,20769410994.855,23756240093.5
Bulgaria,5353253732.92,3696113544.0
Croatia,1121679684.0,1750004180.0
Czechia,23020933624.0,26330240135.0
Denmark,2806884679.0,0.0
Estonia,164878324.0,460756399.36
Finland,0.0,0.0
France,34731546452.0,31329673387.0
Germany,67566383473.713,70511046766.9
Greece,1513473987.0,1473151173.0
Hungary,2807033973.45,7765321602.0
Ireland,0.0,1661159400.0
Italy,23735142301.0,30787969859.0
Latvia,412691709.0,549014374.0
Libya,2059956716.0,0.0
Lithuania,1150638936.0,1106962574.0
Luxemburg,270164242.0,848368345.0
Moldavia,3403895654.9,149973873.456
Morocco,0.0,0.0
Netherlands,41189070604.621994,42365804573.4
North Macedonia,0.0,74224892.0
Norway,30615101465.0,0.0
Poland,14620615672.0,21551052356.010002
Portugal,3377224047.0,1981264850.0
Romania,12133552761.974998,8978812721.67
Russia,29689229687.5687,0.0
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,18376147371.0,40394868336.0
Slovenia,787323412.0,1100091860.0
Spain,9590828336.0,7920883331.0
Switzerland,6769557305.986,14530672471.24
Turkey,327535172.0,1810148950.0
Ukraine,27654698543.14,17707587270.202
United Kingdom,0.0,13496668773.0
