countryName,totalEntries,totalExits
Austria,12652022722.0,72897385690.0
Belarus,1632661810.0,0.0
Belgium,25387065965.2,25735216131.4
Bulgaria,5686530707.8,3910534677.0
Croatia,893657358.0,1354961221.0
Czechia,31864982504.7,29965348476.0
Denmark,1393662549.0,117058796.0
Estonia,305452396.802,678715981.4185
Finland,0.0,0.0
France,35765172126.0,40395222828.0
Germany,81860912330.349,74895074520.034
Greece,1546469740.0,2112162751.0
Hungary,4027433802.1,7027211613.0
Ireland,0.0,1411331700.0
Italy,28846196409.0,34619086842.0
Latvia,341908812.802,503381405.77849996
Libya,1563778477.0,0.0
Lithuania,52501861.0,993083254.0
Luxemburg,299141207.0,936762918.0
Moldavia,3098639836.1,305716350.06
Morocco,0.0,0.0
Netherlands,40194602231.29201,45097873540.034004
North Macedonia,0.0,46284774.0
Norway,30999514836.7,0.0
Poland,14884006528.0,23835058505.29
Portugal,3110059935.0,1491301154.0
Romania,12472399061.718,8828192512.358
Russia,27535264796.209198,152545013.17000002
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,16574706710.0,44597672133.0
Slovenia,483032785.0,806482635.0
Spain,8698789809.0,9930498039.0
Switzerland,5520482829.904,12129333476.2
Turkey,0.0,1195839569.0
Ukraine,25192936701.04,14617332976.509998
United Kingdom,24055613.0,13722337456.0
