countryName,totalEntries,totalExits
Albania,3059299733.0,3342864648.0
Austria,7200923058.0,24149588599.0
Belarus,598908584.0,0.0
Belgium,47492628006.9,35457426551.7
Bulgaria,2250881699.36,5414264938.52
Croatia,1132264983.0,1070778260.0
Czechia,2005401647.0,16641150112.0
Denmark,1601982933.0,1560499718.0
Estonia,288676733.2,404281470.68799996
Finland,928852212.29,318984021.0
France,32969329547.0,40601234179.0
Germany,27253423095.8,56811231041.262
Greece,4533162269.0,948113017.52
Hungary,4586216970.61,8704490629.55
Ireland,4871111.0,1623428711.0
Italy,19203040362.0,33211535291.0
Latvia,197652769.0,354965378.0
Libya,0.0,0.0
Lithuania,873617713.0,960064990.0
Luxemburg,0.0,299537162.0
Moldavia,28874749.22,150159837.267
Morocco,0.0,0.0
Netherlands,51486381424.0,47829436947.8
North Macedonia,0.0,16258647.0
Norway,29097252247.3,0.0
Poland,5179019682.51,10298315555.6
Portugal,4400723423.0,2008859266.0
Romania,4014272011.1600003,5765841982.887
Russia,4649955797.6,0.0
San Marino,0.0,0.0
Serbia,1298562000.0,2064683824.0
Slovakia,4899719941.0,13924579685.9
Slovenia,555647271.0,786984796.0
Spain,25317427789.0,9057127487.0
Switzerland,6135936221.0,9122753144.394001
Turkey,7548583948.0,0.0
Ukraine,4617581453.34,5505042982.09
United Kingdom,6630441024.0,13683781608.0
