fromCountry,toCountry,direction,totalGasFlow
Albania,Italy,entry,3107712303.0
Albania,Italy,exit,3107712303.0
Austria,Austria,exit,307783873.0
Austria,Germany,entry,4681487921.0
Austria,Germany,exit,3500987623.0
Austria,Hungary,entry,571272376.0
Austria,Hungary,exit,515886667.0
Austria,Italy,entry,1929312092.0
Austria,Italy,exit,2077844917.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,9189209888.0
Austria,Slovenia,entry,378456924.0
Austria,Slovenia,exit,351889493.0
Belgium,Belgium,entry,10702884530.0
Belgium,Belgium,exit,15291519338.0
Belgium,France,entry,3062959622.0
Belgium,France,exit,2850900758.0
Belgium,Germany,entry,3451850107.0
Belgium,Germany,exit,8404112584.0
Belgium,Luxemburg,entry,339056737.0
Belgium,Luxemburg,exit,0.0
Belgium,Netherlands,entry,8250591657.3
Belgium,Netherlands,exit,5250473691.4
Belgium,Norway,entry,5692982703.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,4194796683.0
Bulgaria,Bulgaria,entry,2153349888.0
Bulgaria,Bulgaria,exit,3054905379.0
Bulgaria,Greece,entry,1004364862.0
Bulgaria,Greece,exit,1179509056.87
Bulgaria,North Macedonia,exit,173016107.0
Bulgaria,Romania,entry,957110773.96
Bulgaria,Romania,exit,957186930.0
Bulgaria,Serbia,entry,0.0
Bulgaria,Serbia,exit,2793288313.0
Bulgaria,Turkey,entry,4262449469.0
Bulgaria,Turkey,exit,0.0
Croatia,Croatia,entry,1449290965.0
Croatia,Croatia,exit,1210142758.0
Croatia,Hungary,entry,85464000.0
Croatia,Hungary,exit,72349000.0
Croatia,Slovenia,entry,52513904.0
Croatia,Slovenia,exit,56150137.0
Czechia,Czechia,entry,6005975718.0
Czechia,Czechia,exit,0.0
Czechia,Germany,entry,5672067654.0
Czechia,Germany,exit,8170859649.0
Czechia,Poland,entry,18802290.0
Czechia,Poland,exit,18802290.0
Czechia,Slovakia,entry,980289190.0
Czechia,Slovakia,exit,980289190.0
Denmark,Denmark,entry,32696192.0
