fromCountry,toCountry,direction,totalGasFlow
Albania,Italy,entry,2987379143.0
Albania,Italy,exit,3267508564.0
Austria,Austria,exit,81182762.0
Austria,Germany,entry,2643109988.0
Austria,Germany,exit,3865520424.0
Austria,Hungary,entry,1407295429.0
Austria,Hungary,exit,1314587489.0
Austria,Italy,entry,810113787.0
Austria,Italy,exit,787597146.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,11676270428.0
Austria,Slovenia,entry,153416142.0
Austria,Slovenia,exit,136700677.0
Belgium,Belgium,entry,4939448850.0
Belgium,Belgium,exit,7438216226.0
Belgium,France,entry,1948027814.0
Belgium,France,exit,1948027815.0
Belgium,Germany,entry,3272893051.0
Belgium,Germany,exit,4860515127.0
Belgium,Netherlands,entry,7033109793.9
Belgium,Netherlands,exit,4972871013.1
Belgium,Norway,entry,4304813191.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,2923197600.0
Bulgaria,Bulgaria,entry,887527608.0
Bulgaria,Bulgaria,exit,1471038779.0
Bulgaria,Greece,entry,681426817.0
Bulgaria,Greece,exit,523304964.6
Bulgaria,North Macedonia,exit,56210579.0
Bulgaria,Romania,entry,288979530.59000003
Bulgaria,Romania,exit,319596954.0
Bulgaria,Serbia,entry,0.0
Bulgaria,Serbia,exit,803039099.0
Bulgaria,Turkey,entry,1188855702.0
Bulgaria,Turkey,exit,0.0
Croatia,Croatia,entry,1072253353.0
Croatia,Croatia,exit,869538510.0
Croatia,Hungary,entry,539199000.0
Croatia,Hungary,exit,491173992.0
Croatia,Slovenia,entry,87646650.0
Croatia,Slovenia,exit,94737019.0
Czechia,Czechia,entry,0.0
Czechia,Czechia,exit,5434238572.0
Czechia,Germany,entry,1602532701.0
Czechia,Germany,exit,11857500705.0
Czechia,Poland,entry,11753689.0
Czechia,Poland,exit,11753689.0
Czechia,Slovakia,entry,45614555.0
Czechia,Slovakia,exit,65044600.0
Denmark,Denmark,entry,29411030.0
Denmark,Germany,entry,68668630.0
Denmark,Germany,exit,47841449.0
Denmark,Norway,entry,2678373674.0
Denmark,Poland,entry,2387138719.0
Denmark,Poland,exit,2419290843.0
Estonia,Estonia,exit,50908885.028
Estonia,Finland,entry,273255484.998
Estonia,Finland,exit,303530966.0
Estonia,Latvia,entry,0.0
Estonia,Latvia,exit,133693022.0
Estonia,Russia,entry,0.0
Estonia,Russia,exit,0.0
Finland,Estonia,entry,273255484.998
Finland,Estonia,exit,303530966.0
Finland,Finland,entry,714227463.592
France,Belgium,entry,1948027814.0
France,Belgium,exit,1948027815.0
France,France,entry,20054927352.0
France,France,exit,19555210268.0
France,Germany,entry,61280000.0
France,Germany,exit,61276141.0
