fromCountry,toCountry,direction,totalGasFlow
Albania,Italy,entry,3386318805.0
Albania,Italy,exit,3699064006.0
Austria,Austria,exit,196302732.0
Austria,Germany,entry,3134981353.0
Austria,Germany,exit,3808612932.0
Austria,Hungary,entry,1034254873.0
Austria,Hungary,exit,949816388.0
Austria,Italy,entry,1395694343.0
Austria,Italy,exit,1737562368.0
Austria,Slovakia,entry,0.0
Austria,Slovakia,exit,11805170672.0
Austria,Slovenia,entry,291452838.0
Austria,Slovenia,exit,259606091.0
Belgium,Belgium,entry,10072492588.0
Belgium,Belgium,exit,10826955408.0
Belgium,France,entry,1825986756.0
Belgium,France,exit,1825986765.0
Belgium,Germany,entry,3442580767.0
Belgium,Germany,exit,8763805582.0
Belgium,Luxemburg,entry,223661741.0
Belgium,Luxemburg,exit,0.0
Belgium,Netherlands,entry,11006458568.6
Belgium,Netherlands,exit,8854370245.4
Belgium,Norway,entry,5248727817.0
Belgium,Norway,exit,0.0
Belgium,United Kingdom,exit,7044240368.0
Bulgaria,Bulgaria,entry,906257894.0
Bulgaria,Bulgaria,exit,1977809891.0
Bulgaria,Greece,entry,514655582.0
Bulgaria,Greece,exit,781838689.0
Bulgaria,North Macedonia,exit,164608677.0
Bulgaria,Romania,entry,1021272474.577
Bulgaria,Romania,exit,1021305338.0
Bulgaria,Serbia,entry,0.0
Bulgaria,Serbia,exit,2218554744.0
Bulgaria,Turkey,entry,4197422673.0
Bulgaria,Turkey,exit,0.0
Croatia,Croatia,entry,1302109265.0
Croatia,Croatia,exit,887803831.0
Croatia,Hungary,entry,428904000.0
Croatia,Hungary,exit,399470968.0
Croatia,Slovenia,entry,115265903.0
Croatia,Slovenia,exit,126123927.0
Czechia,Czechia,entry,1468496044.0
Czechia,Czechia,exit,42079290.0
Czechia,Germany,entry,5426947156.0
Czechia,Germany,exit,7317999471.0
Czechia,Poland,entry,197370946.0
Czechia,Poland,exit,197370946.0
Czechia,Slovakia,entry,142112275.0
Czechia,Slovakia,exit,142112275.0
Denmark,Denmark,entry,39959151.0
Denmark,Germany,entry,91463240.0
Denmark,Germany,exit,46241913.0
Denmark,Norway,entry,2608917697.0
Denmark,Poland,entry,2187920656.0
Denmark,Poland,exit,2271108776.0
Estonia,Estonia,exit,114886691.957
Estonia,Finland,entry,256446467.06
Estonia,Finland,exit,264591980.543
Estonia,Latvia,entry,0.0
Estonia,Russia,entry,0.0
Estonia,Russia,exit,0.0
Finland,Estonia,entry,256446467.06
Finland,Estonia,exit,264591980.543
Finland,Finland,entry,550549771.57
France,Belgium,entry,1825986756.0
France,Belgium,exit,1825986765.0
France,France,entry,9326318958.0
France,France,exit,21004596063.0
France,Germany,entry,0.0
France,Germany,exit,0.0
France,Norway,entry,5716787032.0
France,Spain,entry,2606722084.0
France,Spain,exit,2432587991.0
France,Switzerland,entry,0.0
France,Switzerland,exit,3802756762.0
Germany,Austria,entry,2276955311.0
Germany,Austria,exit,3537256153.0
Germany,Belgium,entry,13010049072.9
Germany,Belgium,exit,0.0
Germany,Czechia,entry,2598779336.0
Germany,Czechia,exit,15424588285.0
Germany,Denmark,entry,91463240.0
Germany,Denmark,exit,46241913.0
Germany,France,entry,0.0
Germany,France,exit,0.0
Germany,Germany,entry,0.0
Germany,Germany,exit,4233945437.31
Germany,Luxemburg,entry,0.0
Germany,Luxemburg,exit,0.0
Germany,Netherlands,entry,14893106832.49
Germany,Netherlands,exit,10949790789.6
Germany,Norway,entry,7659954191.4
Germany,Norway,exit,0.0
Germany,Poland,entry,538490367.0
Germany,Poland,exit,538510232.03
Germany,Russia,entry,0.0
Germany,Switzerland,entry,0.0
Germany,Switzerland,exit,9770697463.52
Greece,Bulgaria,entry,514655582.0
Greece,Bulgaria,exit,781838689.0
Greece,Greece,exit,300172974.0
Greece,Turkey,entry,4378992666.0
Hungary,Austria,entry,1034254873.0
Hungary,Austria,exit,949816388.0
Hungary,Croatia,entry,428904000.0
Hungary,Croatia,exit,399470968.0
Hungary,Hungary,entry,2091100029.0
Hungary,Hungary,exit,4640971235.0
Hungary,Romania,entry,329295000.0
Hungary,Romania,exit,296226152.25
Hungary,Serbia,entry,1407558000.0
Hungary,Serbia,exit,138117000.0
Hungary,Slovakia,entry,122458000.0
Hungary,Slovakia,exit,122457000.0
Hungary,Ukraine,entry,74436699.61
Hungary,Ukraine,exit,69320000.0
Ireland,United Kingdom,exit,1661140937.0
Italy,Albania,entry,3386318805.0
Italy,Albania,exit,3699064006.0
Italy,Austria,entry,1395694343.0
Italy,Austria,exit,1737562368.0
Italy,Italy,entry,8989957366.0
Italy,Italy,exit,24355786898.0
Italy,Libya,entry,1040821203.0
Italy,San Marino,exit,16375951.0
Italy,Slovenia,entry,175577257.0
Italy,Slovenia,exit,167031090.0
Italy,Switzerland,entry,3965878002.0
Italy,Switzerland,exit,36710255.0
Latvia,Estonia,entry,0.0
Latvia,Latvia,exit,215608040.0
Latvia,Lithuania,entry,413910920.0
Latvia,Lithuania,exit,461408945.0
Latvia,Russia,entry,0.0
Lithuania,Belarus,entry,770705955.0
Lithuania,Latvia,entry,413910920.0
Lithuania,Latvia,exit,461408945.0
Lithuania,Lithuania,entry,1219283924.0
Lithuania,Poland,entry,207936274.0
Lithuania,Poland,exit,207936274.0
Lithuania,Russia,exit,780425681.0
Luxemburg,Belgium,entry,223661741.0
Luxemburg,Belgium,exit,0.0
Luxemburg,Germany,entry,0.0
Luxemburg,Germany,exit,0.0
Luxemburg,Luxemburg,entry,0.0
Luxemburg,Luxemburg,exit,448739558.0
Moldavia,Romania,entry,0.0
Moldavia,Romania,exit,0.0
Moldavia,Ukraine,entry,54515332.13
Moldavia,Ukraine,exit,233714848.15
Morocco,Spain,entry,0.0
Netherlands,Belgium,entry,11006458568.6
Netherlands,Belgium,exit,8854370245.4
Netherlands,Germany,entry,6993753317.4
Netherlands,Germany,exit,23672023014.0
Netherlands,Netherlands,entry,26915339915.1
Netherlands,Netherlands,exit,14834051210.0
Netherlands,United Kingdom,exit,1778624994.0
North Macedonia,Bulgaria,exit,164608677.0
Norway,Belgium,entry,5248727817.0
Norway,Belgium,exit,0.0
Norway,Germany,entry,7659954191.4
Norway,Germany,exit,0.0
Poland,Czechia,entry,197523453.0
Poland,Czechia,exit,197370946.0
Poland,Denmark,entry,2187920656.0
Poland,Denmark,exit,2271108776.0
Poland,Germany,entry,538490367.0
Poland,Germany,exit,538510232.03
Poland,Lithuania,entry,207936274.0
Poland,Lithuania,exit,207936274.0
Poland,Poland,entry,2295638714.0
Poland,Poland,exit,12147047430.0
Poland,Slovakia,entry,0.0
Poland,Slovakia,exit,0.0
Poland,Ukraine,entry,112195136.44
Poland,Ukraine,exit,112938137.0
Portugal,Portugal,entry,3208058900.0
Portugal,Portugal,exit,1050669898.0
Portugal,Spain,entry,498553921.0
Portugal,Spain,exit,547819338.0
