fromCountry,toCountry,direction,totalGasFlow
Poland,Denmark,exit,2148230645.0
Poland,Germany,entry,641619004.0
Poland,Germany,exit,641648654.88
Poland,Lithuania,entry,138749670.0
Poland,Lithuania,exit,138749670.0
Poland,Poland,entry,4166220614.0
Poland,Poland,exit,15465582357.0
Poland,Slovakia,entry,0.0
Poland,Slovakia,exit,0.0
Poland,Ukraine,entry,277555179.06
Poland,Ukraine,exit,285008282.0
Portugal,Portugal,entry,3029645510.0
Portugal,Portugal,exit,1727928232.0
Portugal,Spain,entry,330328208.0
Portugal,Spain,exit,323420851.0
Romania,Bulgaria,entry,333484741.35
Romania,Bulgaria,exit,371278614.0
Romania,Hungary,entry,130138245.311
Romania,Hungary,exit,99852947.857262
Romania,Moldavia,entry,0.0
Romania,Moldavia,exit,123563128.132
Romania,Romania,entry,4666725231.1
Romania,Romania,exit,3877977758.628
Romania,Ukraine,entry,0.0
Romania,Ukraine,exit,0.0
Russia,Estonia,entry,0.0
Russia,Estonia,exit,0.0
Russia,Germany,entry,0.0
Russia,Latvia,entry,0.0
Serbia,Bulgaria,entry,0.0
Serbia,Bulgaria,exit,2599723353.0
Serbia,Hungary,entry,1257787000.0
Serbia,Hungary,exit,0.0
Slovakia,Austria,entry,0.0
Slovakia,Austria,exit,9140564970.0
Slovakia,Czechia,entry,372051395.0
Slovakia,Czechia,exit,372051395.0
Slovakia,Hungary,entry,50098000.0
Slovakia,Hungary,exit,50098000.0
Slovakia,Poland,entry,0.0
Slovakia,Poland,exit,0.0
Slovakia,Ukraine,entry,4976858907.67
Slovakia,Ukraine,exit,4645558150.1
Slovenia,Austria,entry,297632331.0
Slovenia,Austria,exit,277170239.0
Slovenia,Croatia,entry,117413195.0
Slovenia,Croatia,exit,130133834.0
Slovenia,Italy,entry,199950900.0
Slovenia,Italy,exit,180850833.0
Slovenia,Slovenia,exit,360936339.0
Spain,France,entry,1382252828.0
Spain,France,exit,1246047258.0
Spain,Morocco,exit,332574889.0
Spain,Portugal,entry,330328208.0
Spain,Portugal,exit,323420851.0
