countryName,totalEntries,totalExits
Albania,3386318805.0,3699064006.0
Austria,4998357365.0,18757071183.0
Belarus,770705955.0,0.0
Belgium,48430392652.5,37315358368.4
Bulgaria,2616208492.577,6164117339.0
Croatia,1846279168.0,1413398726.0
Czechia,4406911108.0,7699561982.0
Denmark,2319343047.0,2317350689.0
Estonia,256446467.06,379478672.5
Finland,806996238.6300001,264591980.543
France,13759027798.0,29065927581.0
Germany,27288170391.8,44501030273.46
Greece,4893648248.0,1082011663.0
Hungary,5488006601.61,6616378743.25
Ireland,7067500.0,1661140937.0
Italy,17913425773.0,30012530568.0
Latvia,413910920.0,677016985.0
Libya,1040821203.0,0.0
Lithuania,1841131118.0,1449770900.0
Luxemburg,223661741.0,448739558.0
Moldavia,54515332.13,233714848.15
Morocco,0.0,0.0
Netherlands,54755821364.59,49139069463.4
North Macedonia,0.0,164608677.0
Norway,35432772208.4,0.0
Poland,5539552093.44,15474911795.029999
Portugal,3706612821.0,1598489236.0
Romania,4786428270.493,5575660451.048
Russia,4588380429.0,0.0
San Marino,0.0,0.0
Serbia,1407558000.0,2218554744.0
Slovakia,4665472287.0,13129718474.3
Slovenia,582295998.0,894654629.0
Spain,26797888390.0,8895697569.0
Switzerland,3965878002.0,7524701521.84
Turkey,8576415339.0,0.0
Ukraine,4642049180.18,5909975390.690001
United Kingdom,7067230784.0,16759795295.0
