countryName,totalEntries,totalExits
Austria,16796302522.0,78654809407.0
Belarus,726433953.0,0.0
Belgium,26796389062.5,31369761583.5
Bulgaria,6663699983.0,4230889840.6521997
Croatia,1215903785.0,1385466660.0
Czechia,32598043895.1,27494867154.0
Denmark,1379318626.0,118938032.0
Estonia,3164103118.1689997,1100660960.488
Finland,0.0,0.0
France,31580237683.0,43391083213.0
Germany,78315778426.2,70061548136.09
Greece,1175246631.0,1876112935.0
Hungary,3258344009.53,13967082497.0
Ireland,0.0,1438445115.0
Italy,27366991609.0,45204934955.0
Latvia,3089726403.1689997,1026777165.408
Libya,2224393307.0,0.0
Lithuania,684367276.0,745161517.0
Luxemburg,255412347.0,770355723.0
Moldavia,3370688721.0,0.0
Morocco,0.0,0.0
Netherlands,38291233085.100006,41106706425.09
North Macedonia,0.0,15111324.0
Norway,29635077665.5,0.0
Poland,15098809423.0,19985041530.11
Portugal,3345132530.0,2154040454.0
Romania,12034394664.543484,8393070873.8682
Russia,34200869537.302597,25673889.098
San Marino,0.0,0.0
Serbia,0.0,0.0
Slovakia,21074939910.0,50012841073.0
Slovenia,450659935.0,711731675.0
Spain,8531030169.0,8731236021.0
Switzerland,8274414896.0,14468641838.0
Turkey,725920734.0,1430624930.0
Ukraine,31905786449.03,20061725190.309998
United Kingdom,4141619008.0,13548248868.0
