countryName,totalEntries,totalExits
Albania,3303082478.0,3572865536.0
Austria,1017594736.0,14204455013.0
Belarus,845209218.0,0.0
Belgium,25802316112.3,19849680397.0
Bulgaria,2966742292.139,7549917498.0
Croatia,1368683936.0,980568071.0
Czechia,4216606544.0,5630283841.307
Denmark,1777826219.0,1754165090.0
Estonia,264088990.37,355459827.49300003
Finland,976602179.1,266510603.0
France,12745211952.0,22000756240.0
Germany,21486101532.0,27233241444.824
Greece,4810828644.0,1817934551.0
Hungary,5878164652.046723,6323868387.37
Ireland,5843334.0,1383484733.0
Italy,16964165219.0,25064670009.0
Latvia,756533262.0,932712324.0
Libya,787672484.0,0.0
Lithuania,2201513000.0,1894524117.0
Luxemburg,1605800.0,231531508.0
Moldavia,1491708.5,433557696.838
Morocco,0.0,0.0
Netherlands,34015641995.0,29984142155.0
North Macedonia,0.0,84637037.0
Norway,30193545284.8,0.0
Poland,6146538530.31,11276637616.612999
Portugal,3709034991.0,2369081913.0
Romania,4493307377.044312,5584840218.6779995
Russia,4900437738.3,0.0
San Marino,0.0,0.0
Serbia,2650759512.0,3172575256.0
Slovakia,4874328004.639999,12913945972.1
Slovenia,229836250.0,436307879.0
Spain,19241735609.0,8530426153.0
Switzerland,3771004768.0,5779706912.248
Turkey,9953030725.0,0.0
Ukraine,5748182828.79,6380257983.83
United Kingdom,2268176788.0,7377970220.0
