countryName,totalEntries,totalExits,totalFlow
Albania,8496726419.0,8484306039.0,12420380.0
Austria,12559406134.0,35267624976.0,-28078777505.0
Belarus,0.0,0.0,2472626754.0
Belgium,42277247489.8,13905975852.8,28380459852.2
Bulgaria,11285322847.42,9032337100.612999,-6457997645.193
Croatia,1117121866.0,1117255213.0,-133347.0
Czechia,14855398557.0,40316783705.42,-12526185699.419998
Denmark,12093995943.0,5391457954.0,-19499589.0
Estonia,941075710.49,939205675.78,1870034.7100000381
Finland,941075710.49,939205675.78,1870034.7100000381
France,22292870981.0,18853894620.0,-10326073554.0
Germany,103154259794.1,116469004749.898,-33297232990.526
Greece,12818614415.0,1773522376.59,10827022838.41
Hungary,10232590193.237999,7191379184.6470585,2992783008.590941
Ireland,0.0,0.0,271893084784.0
Italy,25371222213.0,13209602093.0,9338929778.0
Latvia,1447665367.0,1447665402.0,-35.0
Libya,0.0,0.0,2661458901.0
Lithuania,4253157319.0,1780555599.0,-2520858806.0
Luxemburg,692516609.0,0.0,692516609.0
Moldavia,211398294.44,2488801912.162,-541338172.242
Morocco,550955.0,805156449.0,0.0
Netherlands,32892882221.7,38368241779.2,-14317178934.599998
North Macedonia,0.0,356658972.0,-356658972.0
Norway,31607851288.5,0.0,91036148342.5
Poland,7770260423.08,7700941707.414,68930338.66600001
Portugal,529605173.0,543663582.0,-14058409.0
Romania,1084781005.418,1208389880.802059,-123608875.38405904
Russia,0.0,2520833772.0,12814646168.9
San Marino,0.0,48569680.0,0.0
Serbia,3036158000.0,6149705001.0,-3065119001.0
Slovakia,13089638982.9,42545326272.0,-22091757579.1
Slovenia,1401583649.0,1402396287.0,-812638.0
Spain,4357979258.0,4398458416.0,-845084652.0
Switzerland,12373459777.0,34983560833.692,-9073425486.564
Turkey,10827029083.0,0.0,19756081675.0
Ukraine,28110383720.559998,15652269838.55,-2092597732.3700008
United Kingdom,326277869425.5,15906498349.0,0.0
