countryA,countryB,entryFlow,exitFlow
Austria,Austria,0.0,44845086.0
Austria,Germany,4205199264.0,4783396137.0
Austria,Hungary,1662844324.0,1675406388.0
Austria,Italy,9769753521.0,9763736715.0
Austria,Slovakia,0.0,49705324840.0
Austria,Slovenia,284968736.0,316848999.0
Belgium,Belgium,3991319040.0,9091330640.0
Belgium,France,4395780058.0,4395780083.0
Belgium,Germany,78742612.0,1999945338.0
Belgium,Luxemburg,162306533.0,162306464.0
Belgium,Netherlands,6244331612.3,6947676437.9
Belgium,Norway,5220853520.0,0.0
Belgium,United Kingdom,0.0,3330155000.0
Bulgaria,Bulgaria,0.0,1294998115.0
Bulgaria,Greece,307267284.0,263579120.0
Bulgaria,North Macedonia,0.0,108218889.0
Bulgaria,Romania,4697159444.0,412224837.967
Bulgaria,Turkey,0.0,1202434092.0
Croatia,Croatia,995498515.0,511448196.0
Croatia,Hungary,485702690.0,482284000.0
Croatia,Slovenia,123202148.0,112035769.0
Czechia,Czechia,0.0,5340415058.0
Czechia,Germany,43345641004.6,30599526240.0
Czechia,Poland,15470270.0,15470270.0
Czechia,Slovakia,2903198367.0,3279923547.0
Denmark,Denmark,1218144215.0,0.0
Denmark,Germany,0.0,65980886.0
Estonia,Estonia,0.0,68551920.81
Estonia,Latvia,2125904041.8700001,1041762261.87
Estonia,Russia,1107350992.8700001,0.0
Finland,Russia,467089366.0,0.0
France,Belgium,4395780058.0,4395780083.0
France,France,12436873728.0,23722355264.0
France,Germany,2303015568.0,1151376000.0
France,Norway,6082230032.0,0.0
France,Spain,1253456145.0,1218837693.0
France,Switzerland,0.0,4865204204.0
Germany,Austria,2841257180.0,4421045966.0
Germany,Belgium,78742612.0,1999945338.0
Germany,Czechia,32170332242.6,17107604934.0
Germany,Denmark,0.0,65980886.0
Germany,France,1151507784.0,1151376000.0
Germany,Germany,10615657966.4,12684220394.0
Germany,Luxemburg,15140426.0,15140422.0
Germany,Netherlands,6815463490.62,7104244587.67
Germany,Norway,7669546586.9,0.0
Germany,Poland,7880155131.0,7047056144.07
Germany,Switzerland,0.0,23621721612.36
Greece,Bulgaria,307267284.0,263579120.0
Greece,Greece,859530545.0,1369828694.0
Greece,Turkey,540566656.0,0.0
Hungary,Austria,1662844324.0,1675406388.0
Hungary,Croatia,485702690.0,482284000.0
Hungary,Hungary,619644852.0,10204321254.0
Hungary,Romania,477127463.19,524062000.0
Hungary,Serbia,0.0,473224000.0
Hungary,Slovakia,0.0,568455000.0
Hungary,Ukraine,6281478000.0,1801975000.0
Ireland,United Kingdom,0.0,1068619871.0
Italy,Austria,9769753521.0,9763736715.0
Italy,Italy,9026906871.0,34541523451.0
Italy,Libya,2040881982.0,0.0
Italy,San Marino,0.0,8160670.0
Italy,Slovenia,0.0,0.0
Italy,Switzerland,8083077166.0,13817462.0
Latvia,Estonia,2125904041.8700001,1041762261.87
Latvia,Lithuania,403797861.0,403797861.0
Latvia,Russia,1041762261.87,0.0
Lithuania,Belarus,652881888.0,0.0
Lithuania,Latvia,403797861.0,403797861.0
Lithuania,Lithuania,913620648.0,0.0
Lithuania,Russia,0.0,604560327.0
Luxemburg,Belgium,162306533.0,162306464.0
Luxemburg,Germany,15140426.0,15140422.0
Luxemburg,Luxemburg,0.0,360241186.0
Moldavia,Romania,0.0,0.0
Moldavia,Ukraine,2651967480.4,0.0
Morocco,Spain,975423673.0,0.0
Netherlands,Belgium,6244331612.3,6947676437.9
Netherlands,Germany,5058051113.0,13367712152.27
Netherlands,Netherlands,19263107997.6,20806471170.2
Netherlands,United Kingdom,0.0,0.0
North Macedonia,Bulgaria,0.0,108218889.0
Norway,Belgium,5220853520.0,0.0
Norway,Germany,7669546586.9,0.0
Poland,Czechia,15501258.0,15470270.0
Poland,Germany,7880155131.0,7047056144.07
Poland,Poland,5700683805.0,9387330364.0
Portugal,Portugal,3676061324.0,1868439811.0
Portugal,Spain,66929166.0,76248734.0
Romania,Bulgaria,4697159444.0,412224837.967
Romania,Hungary,477127463.19,524062000.0
Romania,Moldavia,0.0,0.0
Romania,Romania,2614010475.2,4921400780.67
Romania,Ukraine,2328807045.83476,2580083927.13
Russia,Estonia,1107350992.8700001,0.0
Russia,Latvia,1041762261.87,0.0
Slovakia,Austria,0.0,37278993630.0
Slovakia,Czechia,2903198367.0,3279923547.0
Slovakia,Hungary,0.0,568455000.0
Slovakia,Ukraine,16266211783.0,3800614172.0
Slovenia,Austria,284968736.0,316848999.0
Slovenia,Croatia,123202148.0,112035769.0
Slovenia,Italy,0.0,0.0
Slovenia,Slovenia,0.0,177776860.0
Spain,France,1253456145.0,1218837693.0
Spain,Portugal,66929166.0,76248734.0
Spain,Spain,6951316920.0,7841369215.0
Switzerland,France,0.0,4865204204.0
Switzerland,Germany,0.0,7885393656.12
Switzerland,Italy,8083077166.0,0.0
Turkey,Bulgaria,0.0,1202434092.0
Turkey,Greece,270283328.0,0.0
Ukraine,Belarus,0.0,0.0
Ukraine,Hungary,0.0,6332104109.2
Ukraine,Moldavia,2651967480.4,2824101644.1
Ukraine,Romania,2328807045.83476,2580083927.13
Ukraine,Russia,28571627088.9561,0.0
Ukraine,Slovakia,16266211783.0,3800614172.0
Ukraine,Ukraine,0.0,2824101644.1
United Kingdom,Belgium,3679730275.0,0.0
United Kingdom,Ireland,0.0,0.0
United Kingdom,Norway,13894829746.0,0.0
United Kingdom,United Kingdom,3320420160.0,9003658078.0
